a,b,c,t
0.728,0.375,0.189,2.983
0.371,0.419,0.956,0.846
0.049,0.533,0.915,1.730
0.253,0.700,0.684,1.099
0.873,0.697,0.756,0.285
0.694,0.492,0.056,8.333
0.302,0.559,0.553,1.397
0.751,0.767,0.734,0.326
0.558,0.120,0.040,29.355
0.454,0.530,0.575,1.076
0.159,0.512,0.060,18.156
0.966,0.328,0.812,0.615
0.119,0.374,0.635,2.128
0.413,0.604,0.824,0.732
0.240,0.186,0.925,1.460
0.234,0.326,0.261,4.282
0.171,0.467,0.005,219.537
0.530,0.981,0.709,0.401
0.772,0.137,0.796,1.226
0.026,0.236,0.371,5.963
0.882,0.714,0.842,0.239
0.706,0.512,0.134,3.298
0.175,0.057,0.633,3.161
0.881,0.248,0.226,2.923
0.189,0.857,0.384,2.059
0.731,0.481,0.380,1.195
0.898,0.745,0.872,0.200
0.488,0.090,0.032,42.417
0.654,0.844,0.215,1.200
0.536,0.564,0.051,10.187
0.794,0.359,0.538,1.013
0.810,0.041,0.529,2.795
0.176,0.971,0.648,1.184
0.912,0.469,0.732,0.504
0.708,0.150,0.855,1.139
0.306,0.180,0.213,5.911
0.038,0.792,0.834,1.824
0.005,0.420,0.029,92.337
0.975,0.985,0.457,0.038
0.782,0.975,0.716,0.165
0.939,0.848,0.086,1.150
0.629,0.923,0.781,0.302
0.251,0.544,0.170,5.087
0.198,0.675,0.295,2.963
0.511,0.385,0.035,20.175
0.474,0.559,0.735,0.785
0.069,0.275,0.954,1.805
0.208,0.827,0.821,0.931
0.609,0.283,0.198,3.857
0.779,0.136,0.965,1.010
0.270,0.759,0.899,0.766
0.942,0.288,0.113,5.014
0.827,0.714,0.257,0.890
0.072,0.710,0.437,2.955
0.610,0.088,0.849,1.496
0.923,0.338,0.764,0.662
0.581,0.778,0.805,0.428
0.792,0.610,0.380,0.831
0.171,0.932,0.176,4.532
0.985,0.823,0.874,0.104
0.227,0.337,0.387,2.885
0.722,0.887,0.993,0.195
0.914,0.682,0.618,0.332
0.770,0.182,0.923,0.925
0.174,0.399,0.117,9.902
0.943,0.741,0.207,0.752
0.822,0.511,0.855,0.441
0.810,0.703,0.511,0.479
0.182,0.469,0.110,9.716
0.630,0.652,0.467,0.827
0.683,0.647,0.130,2.728
0.642,0.247,0.814,0.983
0.971,0.766,0.995,0.129
0.997,0.459,0.311,1.092
0.171,0.247,0.748,1.837
0.011,0.736,0.008,261.466
0.293,0.833,0.918,0.667
0.802,0.796,0.883,0.221
0.892,0.503,0.698,0.499
0.258,0.096,0.695,2.311
0.853,0.575,0.493,0.628
0.489,0.441,0.571,1.167
0.582,0.793,0.364,0.923
0.979,0.943,0.355,0.098
0.445,0.969,0.898,0.407
0.437,0.139,0.649,1.874
0.993,0.183,0.166,4.461
0.602,0.084,0.265,4.891
0.135,0.104,0.612,3.027
0.278,0.845,0.047,13.385
0.991,0.088,0.836,1.267
0.467,0.008,0.838,2.897
0.932,0.898,0.481,0.161
0.934,0.473,0.951,0.373
0.077,0.895,0.653,1.779
0.169,0.684,0.680,1.378
0.552,0.772,0.157,2.360
0.979,0.160,0.191,4.215
0.166,0.949,0.372,2.158
0.020,0.727,0.765,2.402
0.308,0.200,0.586,2.066
0.356,0.824,0.918,0.580
0.121,0.134,0.534,3.352
0.689,0.611,0.631,0.595
0.379,0.028,0.027,73.119
0.405,0.591,0.898,0.691
0.623,0.523,0.461,1.056
0.302,0.775,0.480,1.314
0.135,0.419,0.117,10.662
0.838,0.457,0.410,1.017
0.860,0.164,0.799,1.065
0.434,0.278,0.927,0.991
0.212,0.487,0.789,1.250
0.816,0.317,0.984,0.597
0.864,0.580,0.656,0.457
0.884,0.694,0.215,0.987
0.581,0.075,0.209,6.511
0.435,0.173,0.684,1.642
0.188,0.972,0.481,1.535
0.753,0.920,0.466,0.342
0.412,0.765,0.298,1.683
0.779,0.870,0.327,0.517
0.770,0.326,0.370,1.622
0.319,0.530,0.760,1.016
0.041,0.062,0.576,4.505
0.690,0.332,0.268,2.388
0.515,0.006,0.696,3.606
0.692,0.561,0.276,1.489
0.992,0.351,0.413,1.109
0.976,0.225,0.911,0.723
0.278,0.704,0.734,0.965
0.850,0.750,0.654,0.299
0.953,0.959,0.468,0.084
0.401,0.246,0.404,2.490
0.773,0.066,0.442,2.924
0.328,0.363,0.214,4.319
0.029,0.251,0.747,2.862
0.732,0.993,0.441,0.314
0.489,0.731,0.106,4.215
0.669,0.024,0.166,10.809
0.442,0.549,0.115,5.348
0.315,0.026,0.629,3.318
0.089,0.562,0.994,1.309
0.706,0.912,0.657,0.291
0.855,0.944,0.958,0.097
0.047,0.186,0.577,3.567
0.130,0.734,0.672,1.518
0.714,0.684,0.554,0.562
0.454,0.700,0.078,6.383
0.299,0.213,0.898,1.332
0.368,0.977,0.030,14.809
0.232,0.182,0.055,24.990
0.540,0.310,0.265,2.929
0.681,0.345,0.274,2.296
0.833,0.686,0.880,0.276
0.306,0.212,0.778,1.527
0.679,0.668,0.318,1.080
0.993,0.297,0.241,2.200
0.628,0.096,0.743,1.642
0.410,0.445,0.255,2.897
0.152,0.738,0.904,1.051
0.987,0.351,0.881,0.523
0.976,0.996,0.475,0.026
0.515,0.202,0.553,1.777
0.977,0.910,0.056,0.912
0.884,0.735,0.428,0.438
0.537,0.108,0.569,2.173
0.416,0.070,0.894,1.718
0.627,0.871,0.730,0.360
0.293,0.608,0.900,0.832
0.504,0.265,0.839,1.042
0.203,0.162,0.027,54.926
0.156,0.295,0.326,4.101
0.548,0.639,0.044,10.357
0.490,0.043,0.464,3.613
0.824,0.976,0.043,2.201
0.646,0.032,0.122,13.808
0.844,0.061,0.874,1.474
0.157,0.875,0.277,3.112
0.268,0.104,0.148,10.506
0.818,0.202,0.492,1.589
0.510,0.367,0.332,2.192
0.085,0.883,0.566,1.987
0.314,0.520,0.078,10.091
0.892,0.579,0.237,1.211
0.406,0.970,0.242,1.672
0.166,0.295,0.566,2.315
0.783,0.004,0.558,4.488
0.355,0.950,0.113,4.177
0.306,0.621,0.033,21.854
0.942,0.710,0.990,0.176
0.795,0.894,0.747,0.199
0.148,0.047,0.947,2.278
0.272,0.409,0.732,1.303
0.158,0.627,0.023,43.655
0.275,0.874,0.548,1.130
0.187,0.071,0.268,7.003
0.020,0.969,0.760,2.253
0.776,0.281,0.542,1.220
0.352,0.702,0.175,3.469
0.006,0.024,0.232,16.559
0.585,0.652,0.415,1.009
0.905,0.449,0.488,0.801
0.859,0.719,0.497,0.421
0.125,0.466,0.706,1.749
0.070,0.476,0.415,3.560
0.823,0.475,0.924,0.441
0.883,0.501,0.822,0.431
0.200,0.846,0.270,2.858
0.931,0.687,0.902,0.215
0.123,0.723,0.169,6.219
0.096,0.334,0.452,3.305
0.253,0.297,0.778,1.445
0.681,0.933,0.948,0.208
0.643,0.488,0.730,0.690
0.007,0.776,0.515,4.398
0.520,0.330,0.209,3.663
0.060,0.154,0.148,13.745
0.852,0.255,0.388,1.709
0.089,0.026,0.966,2.728
0.643,0.848,0.052,5.065
0.045,0.371,0.481,3.695
0.351,0.907,0.583,0.853
0.048,0.020,0.533,5.662
0.675,0.796,0.770,0.350
0.591,0.834,0.858,0.358
0.572,0.050,0.361,4.276
0.081,0.598,0.843,1.560
0.343,0.820,0.226,2.438
0.635,0.501,0.868,0.573
0.196,0.445,0.221,4.794
0.024,0.422,0.072,27.701
0.790,0.148,0.596,1.564
0.755,0.674,0.192,1.528
0.679,0.649,0.864,0.412
0.848,0.733,0.834,0.248
0.633,0.336,0.195,3.447
0.689,0.907,0.714,0.286
0.129,0.394,0.385,3.361
0.460,0.726,0.009,52.923
0.487,0.638,0.255,1.991
0.881,0.648,0.240,1.014
0.555,0.250,0.183,4.687
0.643,0.635,0.514,0.757
0.380,0.346,0.185,4.763
0.361,0.092,0.493,2.999
0.853,0.317,0.466,1.219
0.519,0.252,0.962,0.918
0.915,0.128,0.260,3.582
0.809,0.616,0.561,0.539
0.050,0.689,0.687,2.129
0.254,0.626,0.018,44.366
0.910,0.862,0.605,0.174
0.671,0.242,0.844,0.935
0.807,0.321,0.105,5.587
0.209,0.550,0.670,1.402
0.007,0.614,0.197,12.014
0.814,0.245,0.211,3.319
0.389,0.539,0.498,1.362
0.022,0.444,0.940,2.139
0.971,0.616,0.559,0.399
0.935,0.250,0.501,1.260
0.780,0.821,0.269,0.720
0.272,0.422,0.512,1.836
0.210,0.964,0.540,1.285
0.574,0.672,0.797,0.519
0.223,0.336,0.146,7.708
0.112,0.155,0.744,2.366
0.394,0.871,0.632,0.735
0.883,0.779,0.190,0.855
0.792,0.677,0.160,1.692
0.028,0.912,0.071,22.434
0.824,0.640,0.647,0.430
0.873,0.422,0.212,2.046
0.822,0.841,0.037,4.333
0.627,0.237,0.677,1.223
0.640,0.056,0.464,3.116
0.113,0.523,0.796,1.543
0.982,0.038,0.318,4.491
0.027,0.711,0.343,5.005
0.167,0.661,0.520,1.841
0.137,0.048,0.274,7.964
0.280,0.435,0.739,1.237
0.588,0.986,0.498,0.475
0.227,0.971,0.739,0.889
0.308,0.578,0.660,1.136
0.039,0.242,0.815,2.485
0.148,0.266,0.575,2.443
0.053,0.539,0.655,2.357
0.261,0.771,0.794,0.877
0.922,0.451,0.507,0.752
0.489,0.494,0.262,2.355
0.885,0.399,0.651,0.694
0.085,0.006,0.724,4.548
0.845,0.328,0.443,1.258
0.707,0.541,0.574,0.727
0.461,0.636,0.353,1.509
0.326,0.208,0.102,11.458
0.029,0.358,0.324,6.123
0.214,0.090,0.832,2.062
0.008,0.869,0.764,2.824
0.657,0.076,0.107,12.165
0.800,0.393,0.551,0.912
0.003,0.372,0.914,3.230
0.681,0.327,0.321,2.032
0.157,0.346,0.674,1.877
0.074,0.968,0.494,2.318
0.691,0.001,0.031,101.952
0.069,0.353,0.588,2.744
0.994,0.733,0.826,0.166
0.295,0.509,0.089,9.252
0.873,0.649,0.779,0.317
0.597,0.363,0.802,0.828
0.868,0.181,0.656,1.225
0.788,0.283,0.221,2.949
0.300,0.953,0.888,0.612
0.266,0.436,0.851,1.099
0.368,0.587,0.159,4.186
0.321,0.490,0.911,0.882
0.896,0.389,0.194,2.359
0.712,0.344,0.368,1.660
0.645,0.589,0.272,1.545
0.133,0.858,0.078,12.085
0.258,0.889,0.974,0.657
0.589,0.761,0.900,0.387
0.092,0.029,0.096,26.811
0.279,0.087,0.219,7.374
0.970,0.311,0.373,1.395
0.774,0.864,0.863,0.202
0.158,0.486,0.337,3.308
0.795,0.810,0.461,0.415
0.921,0.992,0.326,0.120
0.927,0.580,0.141,1.911
0.811,0.366,0.314,1.680
0.074,0.177,0.035,53.794
0.630,0.424,0.916,0.626
0.948,0.732,0.096,1.653
0.666,0.939,0.194,1.051
0.814,0.959,0.546,0.197
0.387,0.001,0.582,5.863
0.725,0.742,0.354,0.761
0.489,0.006,0.849,2.983
0.212,0.167,0.810,1.791
0.951,0.717,0.922,0.180
0.579,0.275,0.033,24.181
0.650,0.075,0.330,3.976
0.553,0.108,0.079,15.492
0.832,0.915,0.795,0.149
0.427,0.928,0.921,0.437
0.129,0.561,0.966,1.181
0.602,0.210,0.898,1.000
0.190,0.928,0.781,0.965
0.222,0.470,0.504,1.948
0.300,0.800,0.894,0.693
0.344,0.457,0.137,5.865
0.275,0.405,0.520,1.833
0.137,0.387,0.769,1.659
0.963,0.598,0.064,3.745
0.613,0.660,0.875,0.449
0.610,0.090,0.760,1.658
0.758,0.578,0.670,0.535
0.839,0.014,0.156,12.373
0.200,0.799,0.933,0.854
0.612,0.942,0.177,1.351
0.938,0.935,0.859,0.066
0.123,0.256,0.696,2.158
0.535,0.676,0.409,1.080
0.681,0.705,0.175,1.821
0.893,0.595,0.780,0.352
0.216,0.626,0.829,1.048
0.764,0.837,0.446,0.435
0.708,0.773,0.960,0.273
0.532,0.282,0.050,16.477
0.101,0.638,0.565,2.108
0.519,0.799,0.303,1.262
0.748,0.259,0.913,0.781
0.951,0.413,0.354,1.147
0.033,0.494,0.771,2.319
0.319,0.493,0.418,1.922
0.684,0.383,0.117,4.972
0.838,0.129,0.876,1.103
0.438,0.122,0.562,2.264
0.772,0.010,0.169,12.499
0.325,0.362,0.051,18.224
0.783,0.810,0.897,0.220
0.112,0.510,0.267,4.656
0.855,0.463,0.383,1.051
0.087,0.258,0.591,2.790
0.432,0.528,0.380,1.689
0.250,0.510,0.989,0.904
0.788,0.772,0.338,0.639
0.852,0.162,0.046,18.697
0.071,0.596,0.167,8.225
0.061,0.128,0.377,5.590
0.158,0.113,0.576,3.035
0.740,0.014,0.527,3.766
0.165,0.798,0.083,10.609
0.989,0.984,0.295,0.040
0.811,0.029,0.009,180.953
0.524,0.984,0.237,1.214
0.174,0.030,0.560,4.076
0.334,0.234,0.944,1.173
0.368,0.639,0.423,1.486
0.611,0.450,0.822,0.682
0.976,0.222,0.746,0.890
0.935,0.345,0.678,0.725
0.134,0.332,0.994,1.360
0.541,0.292,0.480,1.670
0.964,0.971,0.734,0.039
0.364,0.913,0.804,0.595
0.924,0.079,0.485,2.344
0.353,0.289,0.845,1.173
0.728,0.233,0.907,0.850
0.443,0.766,0.255,1.841
0.963,0.073,0.151,7.636
0.797,0.567,0.161,2.143
0.182,0.914,0.455,1.712
0.481,0.117,0.882,1.417
0.970,0.763,0.719,0.182
0.959,0.420,0.098,4.030
0.465,0.474,0.007,93.824
0.580,0.356,0.891,0.769
0.713,0.273,0.452,1.572
0.131,0.177,0.514,3.180
0.311,0.927,0.816,0.662
0.173,0.887,0.426,1.911
0.965,0.517,0.794,0.380
0.151,0.208,0.751,2.001
0.528,0.972,0.285,1.016
0.885,0.535,0.562,0.578
0.884,0.654,0.790,0.301
0.360,0.632,0.660,0.974
0.535,0.941,0.256,1.164
0.039,0.584,0.632,2.599
0.890,0.050,0.931,1.452
0.870,0.514,0.106,3.297
0.617,0.576,0.105,4.279
0.485,0.100,0.545,2.411
0.435,0.814,0.004,112.722
0.254,0.321,0.364,2.991
0.384,0.601,0.326,1.953
0.032,0.786,0.672,2.380
0.482,0.486,0.390,1.616
0.494,0.095,0.422,3.148
0.300,0.317,0.951,1.074
0.628,0.325,0.001,690.157
0.973,0.175,0.455,1.690
0.228,0.211,0.660,1.997
0.855,0.150,0.824,1.082
0.273,0.901,0.190,3.206
0.007,0.051,0.677,5.092
0.992,0.768,0.579,0.204
0.710,0.024,0.353,5.010
0.899,0.511,0.130,2.599
0.632,0.628,0.662,0.606
0.906,0.045,0.850,1.635
0.532,0.162,0.142,7.497
0.166,0.135,0.730,2.260
0.585,0.360,0.936,0.723
0.030,0.995,0.207,7.367
0.552,0.306,0.443,1.743
0.281,0.589,0.381,2.050
0.074,0.944,0.058,19.928
0.893,0.064,0.704,1.766
0.209,0.207,0.163,8.367
0.758,0.210,0.907,0.880
0.677,0.786,0.026,10.538
0.404,0.339,0.176,4.906
0.408,0.852,0.578,0.794
0.576,0.429,0.281,2.161
0.125,0.567,0.846,1.359
0.069,0.695,0.590,2.236
0.345,0.530,0.635,1.162
0.408,0.893,0.508,0.863
0.303,0.566,0.581,1.318
0.861,0.361,0.090,5.639
0.486,0.373,0.654,1.134
0.622,0.542,0.610,0.774
0.623,0.933,0.174,1.354
0.604,0.686,0.090,4.252
0.316,0.676,0.409,1.639
0.092,0.452,0.014,98.648
0.660,0.226,0.524,1.577
0.809,0.530,0.062,5.932
0.009,0.306,0.912,2.807
0.842,0.864,0.027,5.118
0.181,0.889,0.627,1.265
0.800,0.941,0.674,0.183
0.696,0.981,0.505,0.328
0.077,0.613,0.312,4.250
0.492,0.089,0.384,3.538
0.703,0.066,0.443,3.010
0.780,0.994,0.482,0.229
0.051,0.231,0.441,4.374
0.321,0.431,0.764,1.124
0.240,0.207,0.385,3.387
0.692,0.750,0.847,0.336
0.190,0.705,0.661,1.321
0.352,0.780,0.077,7.290
0.091,0.408,0.368,3.887
0.880,0.922,0.405,0.224
0.343,0.595,0.438,1.576
0.802,0.060,0.921,1.431
0.517,0.585,0.790,0.657
0.004,0.659,0.292,8.832
0.585,0.330,0.229,3.119
0.694,0.825,0.862,0.281
0.974,0.123,0.989,0.932
0.632,0.498,0.940,0.534
0.370,0.564,0.195,3.490
0.082,0.412,0.657,2.239
0.538,0.142,0.115,9.712
0.552,0.329,0.640,1.158
0.639,0.210,0.586,1.489
0.248,0.893,0.772,0.848
0.267,0.676,0.804,0.925
0.199,0.808,0.720,1.102
0.409,0.227,0.111,9.300
0.964,0.693,0.375,0.467
0.107,0.832,0.313,3.356
0.125,0.388,0.191,6.881
0.153,0.236,0.958,1.506
0.547,0.990,0.894,0.298
0.024,0.215,0.060,38.123
0.322,0.844,0.701,0.807
0.865,0.030,0.254,6.244
0.630,0.088,0.752,1.670
0.357,0.799,0.525,1.038
0.477,0.886,0.871,0.429
0.332,0.251,0.393,2.746
0.290,0.072,0.339,4.957
0.182,0.554,0.374,2.664
0.561,0.514,0.485,1.114
0.353,0.914,0.746,0.659
0.273,0.308,0.148,7.265
0.265,0.921,0.040,15.312
0.136,0.818,0.615,1.551
0.891,0.471,0.559,0.675
0.661,0.322,0.259,2.594
0.789,0.571,0.723,0.479
0.633,0.113,0.335,3.419
0.472,0.870,0.928,0.417
0.324,0.925,0.178,2.940
0.680,0.833,0.474,0.521
0.260,0.976,0.725,0.821
0.997,0.387,0.364,1.136
0.168,0.234,0.720,1.952
0.935,0.479,0.328,1.064
0.993,0.697,0.030,5.327
0.256,0.851,0.791,0.837
0.180,0.441,0.993,1.108
0.005,0.351,0.557,4.947
0.833,0.044,0.918,1.564
0.244,0.147,0.334,4.327
0.209,0.496,0.761,1.294
0.284,0.198,0.378,3.307
0.670,0.201,0.021,41.463
0.380,0.249,0.775,1.321
0.099,0.466,0.965,1.384
0.121,0.038,0.564,4.144
0.846,0.470,0.525,0.763
0.350,0.846,0.069,7.660
0.374,0.231,0.219,4.856
0.081,0.280,0.456,3.606
0.948,0.899,0.537,0.129
0.625,0.703,0.079,4.521
0.366,0.758,0.724,0.769
0.243,0.217,0.372,3.435
0.786,0.047,0.577,2.483
0.312,0.464,0.512,1.639
0.278,0.319,0.867,1.214
0.938,0.302,0.962,0.569
0.470,0.978,0.469,0.720
0.499,0.114,0.187,6.658
0.453,0.553,0.762,0.789
0.290,0.484,0.516,1.653
0.791,0.946,0.652,0.193
0.699,0.238,0.627,1.242
0.947,0.259,0.228,2.677
0.624,0.757,0.389,0.837
0.213,0.495,0.479,2.040
0.159,0.857,0.478,1.811
0.588,0.584,0.838,0.554
0.381,0.378,0.712,1.182
0.289,0.291,0.753,1.428
0.490,0.553,0.027,21.003
0.881,0.714,0.885,0.227
0.914,0.163,0.694,1.191
0.786,0.091,0.441,2.598
0.194,0.386,0.421,2.674
0.794,0.283,0.364,1.781
0.941,0.492,0.688,0.486
0.087,0.876,0.653,1.712
0.608,0.184,0.479,1.986
0.402,0.187,0.297,3.784
0.838,0.824,0.863,0.186
0.559,0.125,0.226,5.114
0.749,0.251,0.691,1.050
0.591,0.242,0.564,1.498
0.271,0.552,0.304,2.714
0.061,0.376,0.928,1.767
0.400,0.428,0.682,1.124
0.476,0.003,0.257,11.071
0.721,0.240,0.362,2.105
0.607,0.820,0.635,0.477
0.916,0.140,0.197,4.528
0.610,0.475,0.996,0.540
0.307,0.646,0.148,4.747
0.303,0.091,0.013,119.963
0.001,0.761,0.024,129.942
0.629,0.038,0.449,3.612
0.488,0.713,0.148,3.098
0.452,0.830,0.251,1.696
0.993,0.787,0.029,3.692
0.050,0.221,0.026,75.255
0.693,0.928,0.934,0.205
0.667,0.254,0.576,1.339
0.690,0.993,0.263,0.624
0.144,0.446,0.857,1.391
0.443,0.923,0.133,2.920
0.071,0.180,0.876,2.161
0.506,0.144,0.436,2.609
0.449,0.397,0.294,2.547
0.896,0.969,0.496,0.124
0.285,0.980,0.849,0.652
0.505,0.888,0.622,0.560
0.906,0.316,0.320,1.697
0.264,0.437,0.067,13.999
0.368,0.896,0.962,0.501
0.704,0.903,0.138,1.426
0.194,0.491,0.516,1.979
0.264,0.800,0.186,3.631
0.110,0.759,0.340,3.172
0.893,0.473,0.419,0.893
0.405,0.763,0.117,4.359
0.630,0.335,0.110,6.142
0.439,0.792,0.355,1.292
0.485,0.601,0.629,0.851
0.649,0.214,0.870,0.985
0.108,0.031,0.769,3.219
0.545,0.622,0.254,1.850
0.571,0.251,0.444,1.900
0.595,0.869,0.143,2.003
0.833,0.508,0.508,0.735
0.467,0.777,0.664,0.663
0.800,0.105,0.862,1.248
0.017,0.973,0.358,4.976
0.052,0.071,0.571,4.260
0.323,0.105,0.472,3.114
0.293,0.217,0.621,1.927
0.979,0.602,0.895,0.257
0.368,0.460,0.191,4.039
0.455,0.588,0.555,1.032
0.072,0.804,0.536,2.309
0.390,0.396,0.899,0.902
0.514,0.955,0.900,0.343
0.794,0.173,0.319,2.703
0.147,0.366,0.631,2.011
0.916,0.103,0.467,2.195
0.660,0.729,0.022,14.442
0.914,0.996,0.959,0.043
0.932,0.138,0.175,5.090
0.064,0.534,0.573,2.559
0.618,0.490,0.567,0.915
0.231,0.822,0.543,1.329
0.612,0.560,0.425,1.094
0.192,0.149,0.814,1.896
0.394,0.196,0.952,1.168
0.538,0.806,0.213,1.704
0.500,0.086,0.158,8.649
0.304,0.779,0.930,0.673
0.913,0.227,0.836,0.818
0.695,0.541,0.708,0.600
0.034,0.653,0.001,1653.608
0.138,0.658,0.046,22.650
0.081,0.908,0.020,56.671
0.390,0.216,0.905,1.187
0.230,0.030,0.532,4.062
0.454,0.812,0.782,0.554
0.642,0.099,0.226,5.296
0.211,0.600,0.889,1.010
0.780,0.223,0.027,28.133
0.561,0.155,0.075,14.143
0.991,0.751,0.389,0.330
0.202,0.336,0.422,2.769
0.209,0.765,0.607,1.312
0.826,0.217,0.390,1.914
0.057,0.356,0.465,3.640
0.138,0.201,0.749,2.079
0.957,0.345,0.526,0.915
0.361,0.267,0.404,2.515
0.755,0.620,0.047,7.014
0.796,0.244,0.121,5.882
0.314,0.199,0.268,4.493
0.364,0.066,0.804,2.014
0.713,0.123,0.943,1.121
0.961,0.720,0.827,0.193
0.392,0.811,0.712,0.699
0.473,0.062,0.486,3.154
0.959,0.922,0.428,0.125
0.688,0.270,0.796,0.918
0.079,0.023,0.912,3.005
0.358,0.164,0.867,1.420
0.723,0.020,0.160,11.499
0.561,0.370,0.940,0.726
0.537,0.896,0.319,0.996
0.205,0.034,0.124,17.393
0.313,0.519,0.146,5.406
0.791,0.993,0.319,0.329
0.637,0.640,0.847,0.460
0.776,0.229,0.319,2.352
0.408,0.836,0.510,0.916
0.253,0.047,0.451,4.268
0.763,0.715,0.007,37.596
0.828,0.584,0.214,1.475
0.542,0.022,0.079,24.349
0.902,0.923,0.515,0.155
0.492,0.029,0.272,6.785
0.581,0.492,0.571,0.952
0.919,0.646,0.217,1.044
0.748,0.880,0.477,0.381
0.601,0.208,0.239,3.779
0.943,0.025,0.110,14.796
0.790,0.458,0.486,0.908
0.611,0.896,0.023,11.376
0.147,0.577,0.109,9.830
0.326,0.418,0.129,6.710
0.380,0.594,0.511,1.265
0.943,0.678,0.213,0.912
0.081,0.667,0.889,1.426
0.714,0.365,0.814,0.717
0.813,0.629,0.592,0.492
0.153,0.407,0.114,10.576
0.239,0.974,0.820,0.772
0.019,0.183,0.012,204.900
0.063,0.874,0.075,16.789
0.430,0.735,0.987,0.507
0.933,0.194,0.380,1.953
0.481,0.108,0.752,1.708
0.630,0.076,0.161,8.198
0.327,0.136,0.329,4.109
0.789,0.670,0.700,0.395
0.849,0.506,0.541,0.678
0.939,0.559,0.318,0.880
0.563,0.329,0.214,3.422
0.619,0.383,0.565,1.106
0.551,0.006,0.141,17.594
0.094,0.712,0.134,8.764
