a,b,c,t
0.660,0.842,0.948,1.779
0.247,0.506,0.003,8.978
0.183,0.240,0.219,3.819
0.342,0.039,0.461,1.344
0.546,0.440,0.104,3.064
0.025,0.007,0.165,5.337
0.090,0.888,0.192,12.598
0.850,0.467,0.620,1.313
0.350,0.904,0.809,2.967
0.174,0.067,0.557,1.557
0.569,0.759,0.454,2.717
0.951,0.198,0.500,0.960
0.641,0.794,0.770,1.970
0.107,0.002,0.485,1.696
0.175,0.653,0.815,2.738
0.005,0.657,0.774,3.525
0.105,0.689,0.112,13.105
0.183,0.807,0.920,2.925
0.625,0.442,0.862,1.326
0.607,0.369,0.557,1.552
0.151,0.338,0.691,2.122
0.913,0.818,0.759,1.440
0.554,0.903,0.509,2.982
0.520,0.004,0.173,1.455
0.965,0.455,0.111,1.719
0.948,0.264,0.769,0.885
0.921,0.671,0.540,1.512
0.301,0.088,0.569,1.360
0.542,0.587,0.223,3.087
0.815,0.365,0.779,1.095
0.979,0.094,0.776,0.677
0.293,0.766,0.896,2.549
0.402,0.939,0.497,3.884
0.933,0.950,0.639,1.593
0.646,0.845,0.229,3.302
0.519,0.311,0.824,1.255
0.881,0.663,0.248,1.985
0.147,0.922,0.261,8.968
0.265,0.282,0.887,1.420
0.137,0.813,0.779,3.564
0.363,0.445,0.687,1.953
0.086,0.262,0.028,13.965
0.914,0.527,0.625,1.298
0.168,0.248,0.022,8.186
0.120,0.123,0.935,1.195
0.370,0.862,0.768,2.884
0.909,0.013,0.727,0.627
0.861,0.739,0.121,2.425
0.967,0.091,0.764,0.683
0.133,0.291,0.676,2.058
0.875,0.770,0.966,1.308
0.804,0.486,0.077,2.259
0.936,0.791,0.958,1.235
0.951,0.611,0.267,1.719
0.212,0.882,0.774,3.526
0.169,0.401,0.648,2.395
0.857,0.181,0.385,1.100
0.302,0.430,0.366,3.025
0.135,0.890,0.972,3.202
0.747,0.933,0.806,1.860
0.464,0.498,0.452,2.364
0.153,0.519,0.101,9.046
0.032,0.144,0.099,9.990
0.536,0.438,0.284,2.426
0.848,0.073,0.613,0.785
0.737,0.844,0.422,2.368
0.037,0.197,0.699,1.947
0.607,0.557,0.321,2.426
0.929,0.435,0.711,1.119
0.905,0.937,0.851,1.455
0.489,0.617,0.999,1.660
0.968,0.832,0.512,1.571
0.989,0.012,0.987,0.518
0.013,0.857,0.236,13.848
0.565,0.144,0.752,0.988
0.031,0.437,0.264,6.999
0.065,0.439,0.212,7.471
0.736,0.323,0.178,1.834
0.143,0.935,0.640,4.738
0.092,0.240,0.983,1.430
0.117,0.072,0.790,1.267
0.824,0.397,0.275,1.644
0.992,0.543,0.432,1.379
0.770,0.990,0.292,2.764
0.253,0.823,0.654,3.578
0.715,0.868,0.837,1.822
0.551,0.192,0.185,1.912
0.165,0.488,0.898,2.074
0.874,0.273,0.589,1.059
0.497,0.494,0.167,3.228
0.756,0.802,0.387,2.307
0.046,0.181,0.666,1.959
0.054,0.849,0.570,5.473
0.404,0.100,0.807,0.998
0.635,0.293,0.156,2.058
0.648,0.936,0.194,3.669
0.087,0.129,0.439,2.423
0.637,0.321,0.201,2.017
0.384,0.516,0.868,1.789
0.460,0.661,0.339,3.265
0.342,0.597,0.978,1.882
0.295,0.265,0.636,1.711
0.669,0.890,0.822,1.979
0.990,0.989,0.782,1.350
0.608,0.370,0.362,1.864
0.784,0.520,0.946,1.195
0.023,0.736,0.295,9.475
0.068,0.596,0.048,21.936
0.967,0.750,0.362,1.689
0.311,0.279,0.165,3.416
0.681,0.360,0.585,1.397
0.815,0.759,0.785,1.548
0.753,0.665,0.462,1.958
0.005,0.169,0.365,3.693
0.850,0.380,0.666,1.164
0.994,0.510,0.393,1.381
0.373,0.686,0.034,6.717
0.108,0.153,0.011,11.169
0.656,0.647,0.483,2.132
0.794,0.364,0.432,1.427
0.694,0.609,0.972,1.389
0.606,0.703,0.355,2.709
0.071,0.150,0.888,1.379
0.867,0.921,0.330,2.189
0.955,0.559,0.535,1.353
0.506,0.362,0.265,2.347
0.205,0.258,0.793,1.582
0.711,0.385,0.474,1.533
0.805,0.319,0.032,1.977
0.471,0.869,0.878,2.366
0.641,0.677,0.915,1.613
0.123,0.684,0.796,3.073
0.576,0.885,0.421,3.099
0.492,0.664,0.434,2.803
0.415,0.356,0.093,3.562
0.110,0.274,0.743,1.901
0.707,0.389,0.572,1.428
0.544,0.085,0.474,1.154
0.616,0.516,0.569,1.813
0.754,0.612,0.075,2.741
0.075,0.337,0.743,2.184
0.460,0.793,0.522,3.038
0.201,0.049,0.311,2.149
0.090,0.043,0.489,1.879
0.216,0.778,0.448,4.686
0.331,0.854,0.083,7.951
0.870,0.892,0.728,1.613
0.069,0.004,0.690,1.328
0.159,0.331,0.763,1.917
0.258,0.847,0.469,4.572
0.338,0.771,0.027,8.268
0.739,0.034,0.755,0.715
0.345,0.553,0.181,4.479
0.191,0.954,0.998,3.157
0.863,0.433,0.063,2.009
0.078,0.564,0.131,11.689
0.236,0.030,0.900,0.934
0.285,0.015,0.572,1.202
0.545,0.165,0.147,1.948
0.231,0.565,0.511,3.265
0.802,0.926,0.087,3.110
0.281,0.998,0.371,5.886
0.021,0.958,0.712,5.229
0.841,0.477,0.503,1.453
0.082,0.210,0.971,1.390
0.930,0.287,0.742,0.937
0.541,0.880,0.636,2.658
0.968,0.844,0.009,2.391
0.240,0.473,0.133,5.766
0.796,0.467,0.646,1.357
0.127,0.069,0.851,1.168
0.757,0.460,0.656,1.387
0.185,0.479,0.636,2.650
0.346,0.995,0.991,2.804
0.015,0.132,0.851,1.480
0.707,0.689,0.210,2.697
0.267,0.535,0.881,2.025
0.144,0.224,0.203,4.314
0.564,0.852,0.873,2.104
0.653,0.003,0.118,1.305
0.226,0.604,0.436,3.841
0.304,0.045,0.752,1.034
0.214,0.838,0.489,4.722
0.070,0.723,0.736,3.678
0.677,0.975,0.549,2.541
0.691,0.469,0.835,1.316
0.153,0.278,0.347,3.262
0.211,0.525,0.197,5.654
0.697,0.679,0.276,2.530
0.443,0.374,0.329,2.397
0.725,0.106,0.730,0.836
0.350,0.646,0.941,2.034
0.766,0.832,0.257,2.615
0.544,0.937,0.741,2.549
0.049,0.213,0.945,1.480
0.028,0.431,0.756,2.612
0.448,0.497,0.335,2.768
0.339,0.723,0.286,4.587
0.232,0.365,0.541,2.398
0.113,0.090,0.036,7.973
0.883,0.344,0.780,1.013
0.788,0.813,0.594,1.887
0.075,0.454,0.859,2.262
0.255,0.200,0.952,1.190
0.591,0.243,0.689,1.187
0.973,0.388,0.424,1.243
0.001,0.030,0.690,1.535
0.913,0.597,0.808,1.225
0.212,0.723,0.711,3.173
0.004,0.948,0.779,4.846
0.779,0.408,0.337,1.652
0.946,0.181,0.683,0.835
0.998,0.866,0.980,1.161
0.706,0.311,0.295,1.655
0.002,0.794,0.386,8.295
0.757,0.572,0.032,2.775
0.383,0.212,0.017,3.652
0.267,0.042,0.038,3.559
0.823,0.152,0.394,1.076
0.659,0.071,0.384,1.098
0.801,0.097,0.927,0.693
0.107,0.383,0.445,3.461
0.969,0.967,0.870,1.322
0.509,0.419,0.782,1.510
0.842,0.748,0.685,1.586
0.908,0.798,0.793,1.407
0.201,0.769,0.193,7.836
0.056,0.405,0.745,2.464
0.534,0.144,0.540,1.212
0.934,0.739,0.827,1.295
0.017,0.101,0.841,1.413
0.947,0.192,0.571,0.910
0.271,0.266,0.265,2.978
0.659,0.718,0.208,2.983
0.742,0.790,0.304,2.518
0.609,0.680,0.096,3.611
0.411,0.676,0.882,2.074
0.170,0.048,0.346,2.128
0.245,0.187,0.578,1.709
0.709,0.364,0.970,1.055
0.418,0.904,0.222,5.252
0.947,0.912,0.363,1.862
0.591,0.201,0.730,1.079
0.783,0.661,0.869,1.417
0.293,0.473,0.914,1.774
0.848,0.099,0.885,0.692
0.999,0.186,0.397,0.979
0.953,0.690,0.409,1.611
0.272,0.363,0.553,2.236
0.992,0.972,0.029,2.329
0.057,0.929,0.646,5.285
0.501,0.482,0.095,3.542
0.311,0.701,0.989,2.164
0.004,0.955,0.698,5.444
0.812,0.362,0.378,1.462
0.578,0.647,0.796,1.812
0.176,0.191,0.947,1.262
0.812,0.696,0.284,2.165
0.470,0.769,0.171,4.532
0.913,0.402,0.029,1.893
0.508,0.067,0.270,1.462
0.562,0.070,0.170,1.562
0.838,0.806,0.765,1.570
0.771,0.801,0.969,1.501
0.328,0.017,0.042,2.795
0.862,0.110,0.258,1.091
0.682,0.966,0.162,3.656
0.038,0.816,0.357,8.345
0.506,0.048,0.894,0.784
0.822,0.930,0.625,1.885
0.331,0.278,0.535,1.874
0.973,0.267,0.462,1.060
0.093,0.153,0.066,8.360
0.410,0.908,0.494,3.743
0.704,0.839,0.390,2.548
0.557,0.992,0.310,3.919
0.690,0.521,0.028,2.957
0.386,0.389,0.036,4.498
0.576,0.236,0.055,2.385
0.671,0.647,0.501,2.061
0.869,0.588,0.177,2.039
0.244,0.364,0.319,3.286
0.309,0.941,0.069,9.540
0.359,0.730,0.032,7.355
0.077,0.370,0.230,6.110
0.379,0.626,0.502,2.898
0.300,0.871,0.518,4.126
0.916,0.560,0.195,1.844
0.101,0.816,0.983,3.031
0.719,0.675,0.037,3.217
0.759,0.385,0.990,1.031
0.336,0.632,0.970,1.984
0.118,0.399,0.474,3.301
0.992,0.317,0.884,0.857
0.757,0.397,0.500,1.455
0.848,0.204,0.123,1.456
0.665,0.192,0.507,1.196
0.167,0.687,0.744,3.100
0.442,0.366,0.119,3.263
0.981,0.949,0.714,1.410
0.408,0.394,0.379,2.424
0.552,0.157,0.901,0.915
0.894,0.318,0.310,1.356
0.690,0.504,0.416,1.886
0.403,0.083,0.321,1.618
0.426,0.198,0.652,1.323
0.982,0.006,0.370,0.749
0.473,0.449,0.514,2.062
0.072,0.598,0.991,2.399
0.168,0.217,0.531,2.117
0.384,0.459,0.632,2.051
0.237,0.093,0.042,4.280
0.261,0.879,0.175,7.874
0.681,0.160,0.780,0.912
0.913,0.054,0.819,0.640
0.446,0.611,0.290,3.367
0.601,0.687,0.750,1.902
0.481,0.918,0.722,2.760
0.360,0.795,0.662,3.011
0.373,0.767,0.926,2.294
0.594,0.832,0.250,3.474
0.232,0.244,0.085,4.869
0.652,0.616,0.072,3.260
0.202,0.093,0.050,4.739
0.651,0.328,0.662,1.298
0.704,0.802,0.187,3.044
0.609,0.374,0.619,1.480
0.551,0.511,0.157,3.059
0.975,0.961,0.928,1.268
0.874,0.340,0.407,1.312
0.734,0.986,0.287,2.949
0.746,0.774,0.062,3.216
0.418,0.727,0.374,3.569
0.256,0.569,0.395,3.731
0.846,0.918,0.486,1.998
0.962,0.162,0.867,0.723
0.518,0.766,0.760,2.230
0.043,0.159,0.680,1.858
0.835,0.304,0.156,1.633
0.896,0.152,0.011,1.440
0.166,0.285,0.945,1.484
0.166,0.987,0.925,3.570
0.165,0.747,0.322,6.213
0.898,0.292,0.289,1.333
0.442,0.833,0.350,3.938
0.996,0.324,0.235,1.315
0.944,0.631,0.892,1.159
0.629,0.156,0.709,0.990
0.785,0.320,0.771,1.067
0.926,0.117,0.538,0.843
0.374,0.142,0.366,1.758
0.587,0.528,0.221,2.712
0.096,0.317,0.926,1.696
0.335,0.289,0.242,2.859
0.623,0.661,0.884,1.651
0.073,0.390,0.687,2.541
0.176,0.938,0.080,14.466
0.005,0.185,0.121,11.145
0.357,0.404,0.091,4.335
0.715,0.298,0.714,1.138
0.607,0.414,0.406,1.887
0.704,0.633,0.045,3.147
0.374,0.121,0.299,1.864
0.328,0.889,0.574,3.781
0.904,0.543,0.473,1.475
0.432,0.778,0.638,2.771
0.103,0.457,0.290,5.393
0.121,0.617,0.259,6.857
0.813,0.441,0.208,1.858
0.275,0.784,0.774,2.956
0.543,0.273,0.803,1.183
0.198,0.195,0.631,1.720
0.854,0.078,0.011,1.338
0.077,0.548,0.435,4.675
0.299,0.939,0.459,4.762
0.724,0.007,0.802,0.664
0.088,0.816,0.965,3.123
0.418,0.464,0.246,3.146
0.009,0.440,0.430,4.723
0.560,0.804,0.640,2.421
0.336,0.870,0.225,5.954
0.161,0.363,0.496,2.821
0.624,0.933,0.972,1.959
0.842,0.447,0.250,1.736
0.446,0.419,0.662,1.773
0.786,0.456,0.722,1.286
0.057,0.018,0.077,7.734
0.437,0.012,0.919,0.755
0.856,0.800,0.814,1.485
0.027,0.365,0.494,3.576
0.424,0.869,0.610,3.140
0.935,0.626,0.863,1.185
0.989,0.422,0.887,0.952
0.969,0.861,0.241,1.941
0.873,0.322,0.563,1.146
0.906,0.041,0.868,0.610
0.015,0.824,0.847,3.859
0.881,0.868,0.986,1.353
0.561,0.615,0.665,1.975
0.839,0.710,0.076,2.584
0.220,0.058,0.444,1.686
0.852,0.843,0.880,1.471
0.923,0.474,0.701,1.172
0.963,0.142,0.606,0.818
0.598,0.699,0.737,1.949
0.073,0.478,0.463,4.072
0.493,0.858,0.841,2.348
0.029,0.670,0.796,3.380
0.987,0.468,0.977,0.946
0.109,0.177,0.293,3.445
0.368,0.581,0.982,1.799
0.752,0.504,0.054,2.548
0.603,0.122,0.626,1.019
0.465,0.610,0.887,1.823
0.695,0.944,0.601,2.326
0.053,0.975,0.378,9.038
0.693,0.176,0.633,1.030
0.423,0.475,0.822,1.700
0.907,0.007,0.042,1.069
0.860,0.237,0.038,1.647
0.261,0.744,0.795,2.818
0.278,0.437,0.026,6.723
0.369,0.761,0.837,2.458
0.425,0.745,0.801,2.344
0.473,0.862,0.202,4.694
0.009,0.830,0.631,5.232
0.217,0.993,0.196,9.396
0.158,0.185,0.212,3.792
0.897,0.656,0.070,2.289
0.980,0.499,0.684,1.147
0.124,0.535,0.984,2.120
0.841,0.723,0.791,1.460
0.821,0.841,0.311,2.295
0.797,0.607,0.066,2.580
0.852,0.191,0.761,0.860
0.626,0.662,0.021,3.846
0.583,0.747,0.285,3.150
0.589,0.039,0.200,1.368
0.565,0.252,0.612,1.310
0.668,0.127,0.074,1.701
0.638,0.000,0.234,1.147
0.998,0.215,0.654,0.860
0.810,0.102,0.428,0.975
0.252,0.466,0.957,1.761
0.052,0.290,0.495,3.042
0.819,0.156,0.512,0.990
0.238,0.189,0.333,2.472
0.202,0.677,0.227,6.483
0.750,0.236,0.553,1.143
0.894,0.770,0.536,1.663
0.516,0.451,0.990,1.347
0.103,0.997,0.579,5.817
0.136,0.585,0.478,4.075
0.852,0.623,0.656,1.463
0.246,0.748,0.591,3.580
0.651,0.659,0.831,1.660
0.945,0.383,0.206,1.510
0.243,0.187,0.625,1.620
0.617,0.302,0.574,1.386
0.085,0.628,0.124,12.659
0.367,0.884,0.638,3.339
0.258,0.247,0.256,3.015
0.046,0.520,0.315,6.398
0.730,0.294,0.845,1.026
0.606,0.451,0.571,1.698
0.099,0.079,0.062,7.231
0.786,0.663,0.069,2.739
0.879,0.617,0.927,1.202
0.277,0.348,0.364,2.815
0.015,0.617,0.568,4.485
0.194,0.897,0.490,5.178
0.945,0.106,0.041,1.229
0.044,0.521,0.002,50.275
0.730,0.455,0.386,1.757
0.080,0.592,0.416,5.103
0.880,0.448,0.364,1.512
0.596,0.477,0.533,1.829
0.557,0.809,0.531,2.685
0.575,0.524,0.340,2.390
0.443,0.963,0.859,2.695
0.801,0.967,0.293,2.585
0.233,0.685,0.191,6.596
0.511,0.152,0.160,1.967
0.798,0.344,0.615,1.208
0.051,0.208,0.160,6.915
0.412,0.609,0.756,2.131
0.799,0.842,0.598,1.888
0.278,0.165,0.761,1.304
0.342,0.803,0.898,2.514
0.543,0.020,0.663,0.863
0.125,0.621,0.809,2.803
0.163,0.790,0.779,3.370
0.727,0.560,0.430,1.889
0.874,0.967,0.245,2.376
0.997,0.975,0.139,2.084
0.716,0.607,0.901,1.418
0.692,0.460,0.407,1.808
0.871,0.222,0.442,1.103
0.199,0.934,0.268,7.867
0.236,0.821,0.140,8.639
0.911,0.969,0.740,1.558
0.423,0.529,0.328,3.012
0.593,0.786,0.214,3.495
0.628,0.246,0.088,2.127
0.501,0.268,0.667,1.357
0.196,0.597,0.163,7.043
0.528,0.233,0.029,2.696
0.275,0.622,0.177,5.716
0.910,0.249,0.729,0.913
0.718,0.773,0.139,3.073
0.380,0.941,0.844,2.881
0.832,0.413,0.723,1.180
0.174,0.654,0.760,2.906
0.342,0.221,0.074,3.567
0.098,0.964,0.320,9.186
0.839,0.231,0.330,1.257
0.657,0.781,0.074,3.734
0.210,0.151,0.756,1.370
0.936,0.599,0.355,1.619
0.154,0.386,0.887,1.841
0.663,0.504,0.127,2.657
0.925,0.880,0.591,1.619
0.232,0.329,0.152,4.579
0.207,0.044,0.592,1.364
0.883,0.286,0.608,1.055
0.970,0.843,0.659,1.431
0.375,0.538,0.492,2.657
0.011,0.178,0.270,4.938
0.257,0.906,0.210,7.560
0.284,0.007,0.683,1.049
0.585,0.968,0.478,3.088
0.039,0.451,0.122,13.074
0.386,0.013,0.689,0.955
0.418,0.362,0.528,1.928
0.740,0.929,0.350,2.657
0.271,0.506,0.438,3.159
0.388,0.338,0.203,2.990
0.708,0.603,0.400,2.067
0.505,0.564,0.208,3.256
0.089,0.566,0.013,24.004
0.822,0.374,0.492,1.340
0.409,0.749,0.721,2.565
0.920,0.714,0.868,1.268
0.748,0.468,0.447,1.657
0.600,0.992,0.249,3.902
0.488,0.088,0.043,2.225
0.991,0.155,0.030,1.280
0.841,0.728,0.229,2.235
0.562,0.154,0.378,1.408
0.536,0.766,0.875,2.007
0.003,0.574,0.197,12.387
0.953,0.785,0.395,1.709
0.368,0.073,0.047,2.772
0.495,0.801,0.653,2.587
0.672,0.006,0.538,0.836
0.331,0.477,0.675,2.132
0.963,0.308,0.450,1.131
0.656,0.096,0.443,1.089
0.800,0.128,0.226,1.229
0.787,0.183,0.107,1.538
0.229,0.102,0.120,3.478
0.881,0.792,0.729,1.508
0.403,0.946,0.313,4.906
0.088,0.741,0.425,5.894
0.796,0.243,0.740,0.976
0.829,0.735,0.843,1.446
0.258,0.707,0.486,3.841
0.590,0.523,0.545,1.919
0.450,0.316,0.358,2.111
0.214,0.728,0.863,2.734
0.727,0.698,0.945,1.478
0.889,0.347,0.206,1.543
0.510,0.781,0.388,3.229
0.514,0.559,0.935,1.590
0.471,0.920,0.324,4.201
0.197,0.734,0.048,12.125
0.445,0.621,0.291,3.405
0.967,0.055,0.195,0.955
0.180,0.434,0.332,3.999
0.237,0.257,0.523,2.073
0.837,0.304,0.036,1.853
0.998,0.182,0.376,0.989
0.611,0.920,0.873,2.102
0.240,0.981,0.689,4.107
0.190,0.474,0.800,2.183
0.643,0.343,0.108,2.316
0.034,0.438,0.164,10.442
0.214,0.005,0.607,1.230
0.246,0.949,0.072,11.615
0.467,0.710,0.180,4.236
0.089,0.257,0.901,1.595
0.101,0.326,0.402,3.493
0.370,0.990,0.347,5.161
0.117,0.157,0.301,3.202
0.860,0.241,0.428,1.155
0.650,0.363,0.077,2.453
0.355,0.141,0.416,1.685
0.613,0.284,0.690,1.236
0.274,0.549,0.738,2.337
0.386,0.851,0.875,2.562
0.923,0.155,0.070,1.320
0.774,0.335,0.629,1.207
0.158,0.520,0.277,5.288
0.964,0.578,0.830,1.135
0.964,0.206,0.424,1.014
0.924,0.731,0.085,2.264
0.526,0.687,0.610,2.317
0.208,0.224,0.114,4.644
0.586,0.233,0.680,1.183
0.922,0.348,0.002,1.820
