a,b,c,t
0.562,0.052,0.364,4.215
0.450,0.734,0.369,1.304
0.477,0.808,0.969,0.427
0.033,0.789,0.038,41.695
0.021,0.244,0.018,127.244
0.217,0.161,0.500,2.913
0.416,0.281,0.564,1.653
0.208,0.837,0.958,0.792
0.110,0.682,0.436,2.580
0.107,0.673,0.997,1.146
0.352,0.564,0.126,5.573
0.668,0.972,0.672,0.279
0.798,0.952,0.120,0.995
0.398,0.912,0.629,0.700
0.442,0.591,0.512,1.139
0.763,0.446,0.721,0.649
0.301,0.498,0.575,1.433
0.554,0.242,0.163,5.354
0.030,0.666,0.419,4.056
0.156,0.444,0.329,3.524
0.658,0.420,0.430,1.299
0.413,0.194,0.001,1096.248
0.174,0.763,0.312,2.811
0.207,0.480,0.349,2.873
0.460,0.746,0.955,0.486
0.572,0.853,0.014,22.261
0.254,0.898,0.727,0.883
0.725,0.958,0.761,0.208
0.756,0.050,0.561,2.536
0.776,0.239,0.046,15.907
0.206,0.520,0.867,1.119
0.815,0.116,0.803,1.276
0.552,0.039,0.262,6.363
0.650,0.915,0.336,0.672
0.616,0.395,0.162,3.789
0.210,0.397,0.362,2.981
0.355,0.538,0.098,7.337
0.181,0.173,0.880,1.709
0.653,0.830,0.536,0.496
0.732,0.193,0.654,1.300
0.095,0.649,0.983,1.231
0.216,0.628,0.850,1.021
0.705,0.186,0.160,5.514
0.390,0.178,0.578,2.004
0.001,0.647,0.652,4.891
0.858,0.253,0.962,0.690
0.613,0.433,0.191,3.016
0.347,0.619,0.943,0.708
0.078,0.261,0.195,8.673
0.036,0.115,0.530,4.496
0.243,0.170,0.015,92.263
0.083,0.810,0.810,1.447
0.775,0.506,0.093,4.371
0.014,0.560,0.932,2.259
0.367,0.951,0.051,8.964
0.480,0.380,0.138,5.355
0.115,0.669,0.360,3.094
0.236,0.083,0.268,6.373
0.417,0.686,0.119,4.568
0.793,0.487,0.961,0.430
0.576,0.321,0.157,4.669
0.608,0.211,0.976,0.914
0.479,0.825,0.133,3.032
0.497,0.623,0.898,0.567
0.255,0.411,0.214,4.578
0.955,0.726,0.422,0.377
0.162,0.801,0.284,3.123
0.981,0.866,0.945,0.075
0.081,0.558,0.331,4.063
0.529,0.986,0.271,1.043
0.702,0.570,0.977,0.407
0.599,0.127,0.180,6.215
0.150,0.172,0.435,3.651
0.200,0.520,0.101,9.732
0.151,0.861,0.566,1.565
0.321,0.659,0.469,1.438
0.212,0.160,0.399,3.683
0.995,0.343,0.375,1.245
0.375,0.991,0.068,6.322
0.247,0.223,0.715,1.761
0.898,0.426,0.445,0.938
0.197,0.840,0.854,0.915
0.509,0.593,0.476,1.093
0.724,0.820,0.975,0.232
0.205,0.357,0.280,4.056
0.353,0.696,0.010,60.962
0.075,0.267,0.840,2.022
0.978,0.331,0.006,81.639
0.536,0.425,0.193,3.329
0.419,0.768,0.669,0.736
0.911,0.985,0.294,0.160
0.775,0.879,0.007,23.816
0.823,0.966,0.103,0.967
0.945,0.491,0.769,0.434
0.698,0.270,0.015,48.319
0.250,0.639,0.659,1.209
0.160,0.705,0.745,1.272
0.709,0.945,0.237,0.734
0.171,0.395,0.936,1.250
0.514,0.626,0.554,0.889
0.065,0.568,0.092,15.573
0.288,0.204,0.705,1.746
0.871,0.060,0.541,2.369
0.179,0.488,0.695,1.523
0.633,0.316,0.335,2.086
0.510,0.218,0.302,3.159
0.786,0.228,0.287,2.602
0.632,0.498,0.201,2.498
0.621,0.058,0.065,22.207
0.336,0.710,0.267,2.331
0.078,0.604,0.671,1.977
0.301,0.751,0.406,1.591
0.520,0.697,0.838,0.526
0.367,0.551,0.596,1.165
0.279,0.982,0.914,0.615
0.933,0.412,0.723,0.574
0.520,0.979,0.718,0.408
0.406,0.578,0.714,0.882
0.381,0.033,0.115,16.527
0.550,0.490,0.210,2.712
0.663,0.263,0.447,1.697
0.823,0.761,0.819,0.248
0.475,0.600,0.372,1.465
0.732,0.544,0.081,4.937
0.846,0.414,0.758,0.601
0.136,0.547,0.803,1.405
0.524,0.770,0.583,0.676
0.824,0.068,0.546,2.292
0.498,0.963,0.231,1.382
0.579,0.951,0.572,0.453
0.277,0.386,0.971,1.000
0.429,0.544,0.008,78.993
0.058,0.941,0.941,1.342
0.982,0.499,0.324,0.956
0.353,0.775,0.974,0.578
0.939,0.361,0.435,1.080
0.849,0.672,0.867,0.281
0.840,0.556,0.740,0.447
0.004,0.624,0.193,13.486
0.883,0.963,0.236,0.298
0.441,0.391,0.862,0.886
0.945,0.335,0.551,0.907
0.795,0.363,0.064,8.433
0.968,0.664,0.766,0.251
0.274,0.039,0.852,2.314
0.897,0.358,0.198,2.492
0.803,0.681,0.936,0.280
0.426,0.385,0.083,9.459
0.511,0.814,0.995,0.383
0.450,0.699,0.277,1.813
0.893,0.977,0.294,0.202
0.107,0.945,0.696,1.430
0.336,0.201,0.080,14.631
0.184,0.505,0.496,2.080
0.116,0.963,0.435,2.188
0.663,0.410,0.761,0.743
0.023,0.685,0.760,2.372
0.927,0.285,0.783,0.738
0.645,0.551,0.817,0.550
0.951,0.193,0.992,0.742
0.270,0.894,0.698,0.884
0.789,0.430,0.469,1.001
0.156,0.275,0.849,1.611
0.116,0.605,0.456,2.530
0.472,0.477,0.193,3.355
0.923,0.976,0.662,0.069
0.932,0.528,0.559,0.551
0.971,0.778,0.426,0.286
0.921,0.902,0.220,0.366
0.509,0.487,0.587,1.032
0.285,0.291,0.890,1.215
0.918,0.142,0.103,8.591
0.920,0.175,0.698,1.136
0.568,0.030,0.641,2.759
0.002,0.654,0.415,6.948
0.423,0.788,0.010,47.713
0.244,0.112,0.175,8.934
0.424,0.570,0.963,0.640
0.539,0.652,0.572,0.794
0.574,0.277,0.063,12.676
0.931,0.986,0.413,0.090
0.703,0.531,0.654,0.654
0.906,0.046,0.786,1.756
0.681,0.991,0.737,0.232
0.283,0.718,0.281,2.463
0.782,0.872,0.432,0.385
0.510,0.218,0.205,4.654
0.720,0.479,0.255,1.813
0.972,0.712,0.428,0.373
0.531,0.183,0.421,2.405
0.750,0.945,0.606,0.247
0.725,0.649,0.507,0.646
0.270,0.421,0.101,9.350
0.181,0.500,0.429,2.432
0.402,0.236,0.732,1.397
0.218,0.383,0.768,1.404
0.094,0.186,0.729,2.411
0.230,0.602,0.733,1.171
0.106,0.463,0.397,3.298
0.774,0.197,0.104,7.854
0.291,0.735,0.400,1.675
0.967,0.580,0.447,0.562
0.067,0.090,0.970,2.288
0.575,0.250,0.218,3.864
0.109,0.250,0.633,2.472
0.834,0.214,0.700,1.069
0.176,0.763,0.915,0.953
0.644,0.297,0.833,0.862
0.742,0.328,0.789,0.778
0.620,0.834,0.736,0.389
0.728,0.005,0.308,7.919
0.007,0.228,0.098,28.540
0.287,0.994,0.744,0.732
0.036,0.430,0.982,1.843
0.278,0.538,0.354,2.331
0.296,0.753,0.709,0.919
0.160,0.123,0.549,3.107
0.539,0.899,0.460,0.684
0.775,0.074,0.792,1.568
0.194,0.951,0.536,1.369
0.562,0.039,0.892,1.860
0.004,0.550,0.623,4.266
0.714,0.386,0.290,1.930
0.340,0.932,0.848,0.589
0.211,0.036,0.651,3.256
0.162,0.958,0.479,1.689
0.827,0.765,0.639,0.311
0.521,0.161,0.819,1.314
0.964,0.544,0.694,0.404
0.506,0.329,0.941,0.827
0.244,0.052,0.937,2.024
0.564,0.828,0.777,0.426
0.800,0.202,0.876,0.904
0.305,0.837,0.423,1.402
0.778,0.619,0.413,0.768
0.860,0.812,0.564,0.276
0.874,0.381,0.366,1.305
0.862,0.337,0.259,2.073
0.653,0.594,0.378,1.088
0.211,0.355,0.014,80.392
0.969,0.543,0.395,0.706
0.664,0.653,0.783,0.463
0.283,0.573,0.800,0.988
0.953,0.412,0.539,0.753
0.440,0.457,0.116,6.005
0.171,0.696,0.048,19.258
0.503,0.529,0.554,1.038
0.796,0.504,0.043,9.225
0.655,0.847,0.659,0.388
0.503,0.507,0.594,0.999
0.605,0.307,0.618,1.183
0.934,0.464,0.429,0.846
0.111,0.389,0.387,3.526
0.106,0.253,0.242,6.494
0.039,0.263,0.578,3.441
0.581,0.704,0.550,0.706
0.035,0.936,0.688,2.158
0.448,0.668,0.218,2.403
0.233,0.591,0.985,0.874
0.993,0.405,0.768,0.515
0.035,0.309,0.340,5.782
0.249,0.392,0.055,18.373
0.313,0.839,0.265,2.191
0.712,0.121,0.464,2.295
0.030,0.342,0.770,2.583
0.057,0.281,0.476,3.772
0.037,0.918,0.504,2.915
0.679,0.505,0.321,1.448
0.374,0.506,0.373,1.938
0.560,0.588,0.574,0.840
0.872,0.506,0.125,2.843
0.913,0.009,0.704,2.962
0.864,0.166,0.600,1.406
0.182,0.220,0.179,7.807
0.909,0.982,0.151,0.327
0.037,0.599,0.119,13.902
0.798,0.225,0.394,1.893
0.123,0.058,0.128,16.771
0.544,0.615,0.122,3.898
0.657,0.637,0.657,0.576
0.435,0.331,0.152,5.537
0.677,0.973,0.724,0.250
0.772,0.868,0.648,0.268
0.901,0.663,0.934,0.240
0.239,0.903,0.104,6.403
0.982,0.490,0.933,0.341
0.721,0.455,0.723,0.670
0.530,0.519,0.174,3.222
0.449,0.790,0.802,0.561
0.395,0.112,0.333,4.067
0.443,0.532,0.890,0.705
0.332,0.360,0.104,8.871
0.199,0.198,0.768,1.829
0.394,0.422,0.808,0.964
0.222,0.264,0.976,1.262
0.445,0.485,0.633,1.052
0.662,0.054,0.980,1.476
0.566,0.007,0.795,3.021
0.190,0.304,0.194,6.383
0.806,0.760,0.738,0.288
0.005,0.660,0.777,3.194
0.608,0.977,0.171,1.323
0.718,0.411,0.800,0.663
0.483,0.495,0.349,1.781
0.458,0.574,0.916,0.633
0.359,0.809,0.007,76.708
0.407,0.258,0.464,2.109
0.977,0.568,0.586,0.436
0.853,0.156,0.614,1.427
0.965,0.989,0.149,0.136
0.229,0.582,0.194,4.512
0.472,0.209,0.116,8.672
0.249,0.607,0.660,1.243
0.299,0.905,0.125,4.541
0.098,0.637,0.827,1.457
0.836,0.015,0.876,2.171
0.362,0.397,0.339,2.485
0.248,0.995,0.287,2.118
0.146,0.042,0.011,201.127
0.480,0.105,0.491,2.643
0.150,0.880,0.272,3.233
0.245,0.761,0.794,0.919
0.892,0.696,0.069,3.000
0.211,0.430,0.247,4.220
0.783,0.466,0.607,0.721
0.340,0.954,0.770,0.635
0.391,0.170,0.944,1.247
0.668,0.973,0.827,0.226
0.635,0.025,0.497,3.620
0.137,0.304,0.379,3.642
0.285,0.057,0.961,1.862
0.176,0.359,0.344,3.487
0.107,0.153,0.541,3.301
0.103,0.209,0.616,2.706
0.790,0.121,0.272,3.748
0.680,0.292,0.598,1.174
0.560,0.830,0.161,2.067
0.047,0.307,0.934,1.971
0.132,0.010,0.422,6.823
0.781,0.244,0.973,0.740
0.683,0.342,0.847,0.746
0.518,0.941,0.994,0.314
0.588,0.650,0.817,0.511
0.874,0.831,0.227,0.612
0.370,0.174,0.184,6.474
0.645,0.596,0.273,1.521
0.075,0.376,0.961,1.613
0.225,0.154,0.807,1.810
0.086,0.190,0.750,2.382
0.828,0.660,0.124,2.116
0.324,0.340,0.738,1.298
0.459,0.764,0.912,0.499
0.970,0.117,0.830,1.139
