a,b,c,t
0.978,0.634,0.530,1.385
0.727,0.289,0.999,0.789
0.955,0.819,0.927,1.016
0.190,0.554,0.157,1.046
0.262,0.919,0.604,0.775
0.237,0.385,0.828,0.513
0.562,0.236,0.667,0.884
0.693,0.995,0.787,0.947
0.177,0.144,0.543,0.467
0.715,0.710,0.244,1.494
0.408,0.634,0.318,1.095
0.019,0.633,0.647,0.509
0.053,0.347,0.213,0.714
0.061,0.199,0.975,0.221
0.331,0.697,0.786,0.693
0.832,0.413,0.072,2.567
0.200,0.806,0.963,0.569
0.060,0.407,0.400,0.579
0.450,0.975,0.385,1.048
0.235,0.770,0.015,1.280
0.740,0.524,0.832,0.932
0.121,0.491,0.801,0.474
0.040,0.561,0.350,0.660
0.015,0.900,0.446,0.680
0.424,0.146,0.446,0.963
0.183,0.547,0.423,0.753
0.859,0.331,0.115,2.668
0.197,0.547,0.096,1.157
0.989,0.039,0.057,10.708
0.181,0.742,0.833,0.586
0.503,0.520,0.384,1.132
0.260,0.315,0.143,1.255
0.796,0.583,0.966,0.890
0.365,0.015,0.067,4.634
0.806,0.795,0.600,1.148
0.120,0.380,0.138,0.965
0.448,0.133,0.515,0.897
0.563,0.372,0.831,0.777
0.445,0.705,0.337,1.104
0.293,0.309,0.357,0.904
0.085,0.820,0.125,0.958
0.336,0.948,0.723,0.768
0.392,0.824,0.622,0.841
0.892,0.689,0.480,1.352
0.116,0.535,0.947,0.439
0.433,0.313,0.185,1.498
0.500,0.413,0.216,1.452
0.813,0.900,0.300,1.428
0.792,0.414,0.094,2.374
0.721,0.362,0.230,1.829
0.591,0.183,0.804,0.784
0.299,0.074,0.808,0.423
0.139,0.908,0.793,0.616
0.511,0.497,0.246,1.357
0.836,0.556,0.380,1.487
0.866,0.459,0.737,1.108
0.772,0.086,0.284,2.319
0.716,0.241,0.496,1.299
0.508,0.059,0.542,0.943
0.747,0.466,0.131,2.032
0.937,0.277,0.789,1.139
0.498,0.839,0.018,1.560
0.241,0.964,0.109,1.123
0.677,0.669,0.370,1.295
0.237,0.081,0.912,0.320
0.158,0.711,0.061,1.126
0.009,0.204,0.385,0.362
0.322,0.415,0.875,0.571
0.397,0.666,0.778,0.736
0.089,0.576,0.280,0.777
0.006,0.346,0.222,0.620
0.041,0.329,0.656,0.376
0.923,0.200,0.318,2.168
0.358,0.973,0.672,0.809
0.286,0.172,0.876,0.437
0.680,0.840,0.300,1.333
0.749,0.580,0.617,1.110
0.399,0.971,0.383,1.012
0.467,0.669,0.438,1.026
0.628,0.584,0.182,1.582
0.497,0.067,0.410,1.182
0.829,0.846,0.751,1.049
0.114,0.614,0.256,0.837
0.076,0.034,0.039,1.507
0.269,0.351,0.069,1.476
0.294,0.247,0.896,0.473
0.427,0.973,0.732,0.821
0.056,0.869,0.331,0.771
0.402,0.088,0.215,1.617
0.276,0.579,0.943,0.562
0.846,0.101,0.876,0.969
0.622,0.342,0.376,1.343
0.542,0.782,0.953,0.763
0.345,0.354,0.696,0.666
0.572,0.640,0.685,0.915
0.104,0.898,0.957,0.540
0.410,0.762,0.719,0.791
0.753,0.835,0.281,1.423
0.846,0.900,0.722,1.076
0.844,0.753,0.675,1.118
0.679,0.052,0.865,0.797
0.158,0.278,0.643,0.473
0.629,0.441,0.229,1.597
0.386,0.002,0.154,2.487
0.022,0.562,0.087,0.900
0.614,0.271,0.723,0.890
0.253,0.778,0.959,0.594
0.336,0.660,0.059,1.385
0.800,0.648,0.231,1.647
0.806,0.405,0.181,2.067
0.356,0.013,0.766,0.474
0.998,0.190,0.307,2.390
0.136,0.207,0.080,1.195
0.192,0.935,0.778,0.658
0.607,0.511,0.807,0.848
0.839,0.298,0.658,1.189
0.849,0.170,0.694,1.179
0.401,0.422,0.223,1.276
0.406,0.695,0.587,0.859
0.044,0.336,0.569,0.420
0.674,0.246,0.498,1.237
0.645,0.528,0.401,1.263
0.346,0.665,0.333,1.013
0.601,0.071,0.215,2.350
0.150,0.440,0.349,0.748
0.727,0.126,0.778,0.944
0.541,0.826,0.359,1.154
0.821,0.503,0.009,2.586
0.979,0.682,0.702,1.200
0.612,0.367,0.160,1.858
0.405,0.942,0.117,1.272
0.975,0.433,0.252,2.055
0.712,0.980,0.078,1.599
0.940,0.091,0.506,1.727
0.048,0.053,0.865,0.110
0.781,0.414,0.221,1.882
0.475,0.155,0.774,0.678
0.110,0.213,0.566,0.415
0.665,0.045,0.206,2.829
0.790,0.447,0.267,1.732
0.603,0.027,0.279,2.059
0.598,0.294,0.913,0.739
0.652,0.625,0.123,1.707
0.915,0.388,0.292,1.916
0.737,0.446,0.603,1.128
0.011,0.912,0.671,0.583
0.550,0.308,0.730,0.827
0.007,0.529,0.455,0.545
0.941,0.408,0.307,1.887
0.064,0.286,0.827,0.314
0.775,0.147,0.778,0.997
0.078,0.981,0.058,1.019
0.680,0.497,0.847,0.876
0.027,0.260,0.404,0.432
0.130,0.513,0.596,0.580
0.546,0.441,0.558,0.988
0.751,0.398,0.735,1.014
0.788,0.423,0.018,2.746
0.670,0.406,0.275,1.580
0.087,0.324,0.218,0.758
0.953,0.076,0.723,1.288
0.032,0.228,0.967,0.218
0.081,0.383,0.098,0.965
0.382,0.129,0.062,2.675
0.351,0.994,0.521,0.888
0.271,0.010,0.841,0.330
0.846,0.256,0.109,3.019
0.756,0.511,0.246,1.674
0.160,0.570,0.223,0.921
0.833,0.797,0.036,1.957
0.173,0.159,0.807,0.344
0.369,0.964,0.548,0.882
0.145,0.135,0.458,0.472
0.310,0.537,0.663,0.706
0.436,0.795,0.605,0.879
0.912,0.958,0.297,1.490
0.409,0.405,0.860,0.643
0.344,0.226,0.319,1.046
0.972,0.750,0.673,1.210
0.033,0.127,0.306,0.370
