a,b,c,t
0.780,0.316,0.209,1.672
0.730,0.812,0.373,2.443
0.597,0.323,0.759,1.255
0.081,0.628,0.195,9.588
0.098,0.216,0.090,7.862
0.262,0.842,0.459,4.583
0.052,0.437,0.864,2.254
0.071,0.536,0.569,3.683
0.374,0.911,0.818,2.882
0.039,0.646,0.590,4.306
0.814,0.349,0.501,1.303
0.486,0.271,0.250,2.165
0.237,0.126,0.520,1.674
0.097,0.686,0.511,4.663
0.868,0.259,0.405,1.196
0.581,0.838,0.654,2.400
0.654,0.465,0.403,1.905
0.659,0.741,0.948,1.641
0.934,0.839,0.456,1.723
0.304,0.360,0.546,2.157
0.502,0.969,0.005,6.772
0.908,0.587,0.375,1.635
0.052,0.655,0.905,2.860
0.126,0.817,0.068,16.919
0.949,0.241,0.876,0.809
0.422,0.410,0.527,2.051
0.837,0.503,0.623,1.373
0.838,0.521,0.345,1.722
0.684,0.155,0.484,1.131
0.597,0.352,0.798,1.268
0.112,0.877,0.357,7.473
0.562,0.723,0.583,2.354
0.637,0.208,0.076,2.017
0.151,0.377,0.025,10.748
0.871,0.323,0.684,1.060
0.266,0.677,0.306,4.822
0.106,0.100,0.704,1.494
0.423,0.727,0.363,3.591
0.543,0.318,0.066,2.788
0.288,0.676,0.620,3.024
0.501,0.756,0.262,3.722
0.532,0.046,0.848,0.792
0.342,0.360,0.751,1.673
0.254,0.445,0.610,2.395
0.286,0.593,0.402,3.622
0.107,0.877,0.136,14.431
0.668,0.360,0.295,1.840
0.826,0.341,0.887,0.989
0.349,0.832,0.973,2.424
0.318,0.153,0.861,1.125
0.627,0.220,0.349,1.501
0.003,0.082,0.771,1.513
0.670,0.294,0.644,1.237
0.160,0.125,0.261,3.005
0.085,0.515,0.075,14.327
0.711,0.248,0.499,1.255
0.479,0.108,0.132,2.004
0.049,0.555,0.351,6.042
0.335,0.381,0.879,1.553
0.745,0.543,0.237,2.177
0.749,0.136,0.366,1.147
0.639,0.575,0.871,1.507
0.787,0.511,0.219,2.036
0.390,0.424,0.495,2.248
0.133,0.382,0.768,2.116
0.023,0.657,0.548,4.808
0.107,0.402,0.720,2.374
0.506,0.631,0.727,2.026
0.528,0.035,0.973,0.713
0.393,0.399,0.146,3.568
0.839,0.080,0.471,0.887
0.213,0.528,0.757,2.387
0.136,0.987,0.532,5.857
0.117,0.505,0.769,2.551
0.045,0.358,0.679,2.547
0.248,0.521,0.443,3.311
0.006,0.416,0.144,13.367
0.328,0.180,0.980,1.061
0.031,0.037,0.504,2.010
0.755,0.092,0.799,0.764
0.303,0.124,0.089,3.219
0.522,0.741,0.288,3.431
0.038,0.857,0.054,37.462
0.114,0.136,0.724,1.540
0.397,0.336,0.092,3.602
0.024,0.043,0.319,3.172
0.152,0.620,0.061,12.254
0.860,0.457,0.783,1.160
0.366,0.537,0.447,2.833
0.833,0.107,0.452,0.947
0.681,0.421,0.136,2.332
0.618,0.860,0.978,1.858
0.424,0.695,0.445,3.140
0.098,0.538,0.855,2.478
0.806,0.133,0.347,1.102
0.626,0.590,0.978,1.445
0.802,0.839,0.854,1.587
0.977,0.430,0.034,1.784
0.160,0.901,0.859,3.508
0.161,0.146,0.489,2.020
0.335,0.704,0.554,3.161
0.536,0.379,0.123,2.800
0.774,0.039,0.301,1.003
0.534,0.436,0.224,2.619
0.323,0.589,0.271,4.155
0.452,0.433,0.908,1.470
0.316,0.919,0.172,7.221
0.868,0.417,0.766,1.119
0.161,0.396,0.415,3.374
0.892,0.509,0.792,1.177
0.757,0.617,0.480,1.843
0.702,0.606,0.924,1.415
0.618,0.414,0.417,1.844
0.346,0.274,0.709,1.528
0.308,0.537,0.648,2.427
0.088,0.795,0.539,5.125
0.231,0.058,0.969,0.933
0.067,0.749,0.008,40.728
0.576,0.268,0.350,1.704
0.937,0.165,0.242,1.128
0.570,0.626,0.832,1.743
0.245,0.691,0.712,2.938
0.109,0.287,0.958,1.551
0.372,0.912,0.486,4.011
0.318,0.140,0.733,1.234
0.487,0.447,0.657,1.771
0.820,0.306,0.298,1.453
0.922,0.145,0.825,0.739
0.406,0.817,0.645,2.956
0.114,0.703,0.554,4.325
0.994,0.145,0.752,0.737
0.216,0.162,0.948,1.159
0.287,0.721,0.651,3.080
0.045,0.775,0.037,38.396
0.365,0.893,0.286,5.203
0.628,0.271,0.236,1.827
0.450,0.415,0.590,1.878
0.398,0.897,0.270,5.035
0.849,0.965,0.519,1.985
0.880,0.810,0.851,1.418
0.715,0.938,0.377,2.714
0.803,0.547,0.878,1.254
0.823,0.444,0.313,1.671
0.338,0.033,0.728,1.001
0.918,0.361,0.421,1.275
0.209,0.519,0.717,2.473
0.870,0.519,0.695,1.286
0.322,0.403,0.491,2.392
0.073,0.757,0.005,39.509
0.352,0.021,0.433,1.328
0.474,0.352,0.156,2.842
0.140,0.466,0.830,2.209
0.286,0.649,0.665,2.800
0.172,0.503,0.617,2.849
0.238,0.537,0.268,4.619
0.387,0.225,0.491,1.699
0.166,0.347,0.621,2.300
0.224,0.096,0.211,2.760
0.621,0.401,0.433,1.781
0.867,0.911,0.449,1.982
0.301,0.566,0.730,2.335
0.886,0.421,0.258,1.598
0.172,0.990,0.837,3.868
0.848,0.820,0.890,1.451
0.090,0.569,0.481,4.304
0.470,0.136,0.547,1.264
0.526,0.737,0.919,1.913
0.029,0.787,0.045,43.141
0.355,0.629,0.368,3.559
0.696,0.437,0.050,2.594
0.176,0.386,0.420,3.212
0.074,0.313,0.239,5.506
0.034,0.761,0.923,3.239
0.184,0.315,0.039,7.735
0.220,0.245,0.761,1.576
0.407,0.190,0.508,1.540
0.522,0.448,0.579,1.833
0.082,0.417,0.594,2.968
0.354,0.496,0.261,3.565
0.211,0.152,0.242,2.927
0.323,0.817,0.402,4.382
0.424,0.488,0.419,2.552
0.101,0.853,0.063,20.853
0.440,0.332,0.200,2.728
0.348,0.200,0.704,1.363
0.601,0.851,0.700,2.282
0.691,0.684,0.994,1.471
0.190,0.768,0.885,2.873
0.977,0.788,0.614,1.426
0.271,0.849,0.608,3.779
0.365,0.601,0.028,6.328
0.948,0.790,0.949,1.222
0.442,0.295,0.131,2.889
0.164,0.440,0.800,2.143
0.483,0.576,0.813,1.824
0.606,0.074,0.097,1.638
0.660,0.886,0.028,4.299
0.471,0.595,0.974,1.676
0.506,0.847,0.048,5.569
0.184,0.097,0.155,3.549
0.175,0.019,0.722,1.158
0.987,0.058,0.215,0.928
0.487,0.176,0.845,1.032
0.560,0.492,0.506,1.984
0.429,0.950,0.367,4.384
0.514,0.299,0.245,2.183
0.945,0.075,0.208,0.998
0.224,0.161,0.946,1.151
0.178,0.074,0.989,0.988
0.897,0.783,0.335,1.941
0.083,0.231,0.637,2.104
0.520,0.648,0.231,3.374
0.383,0.741,0.683,2.714
0.599,0.064,0.754,0.836
0.485,0.249,0.963,1.065
0.169,0.150,0.695,1.530
0.690,0.167,0.316,1.338
0.215,0.783,0.478,4.515
0.819,0.131,0.725,0.820
0.346,0.576,0.937,1.888
0.715,0.264,0.271,1.575
0.258,0.881,0.036,11.708
0.582,0.751,0.476,2.595
0.173,0.233,0.499,2.259
0.073,0.531,0.715,2.972
0.007,0.621,0.488,5.308
0.953,0.472,0.033,1.911
0.943,0.029,0.747,0.626
0.405,0.337,0.706,1.587
0.626,0.102,0.765,0.870
0.749,0.872,0.970,1.615
0.069,0.379,0.418,3.903
0.341,0.132,0.682,1.250
0.113,0.467,0.739,2.521
0.867,0.752,0.480,1.776
0.993,0.737,0.492,1.477
0.698,0.162,0.167,1.544
0.352,0.409,0.632,1.988
0.982,0.104,0.964,0.620
0.834,0.660,0.506,1.707
0.695,0.495,0.120,2.532
0.326,0.590,0.961,1.919
0.646,0.579,0.171,2.790
0.969,0.426,0.385,1.330
0.217,0.247,0.900,1.389
0.224,0.306,0.734,1.774
0.079,0.319,0.815,1.945
0.302,0.799,0.398,4.476
0.890,0.495,0.960,1.059
0.573,0.418,0.721,1.492
0.526,0.748,0.137,4.215
0.717,0.448,0.699,1.378
0.596,0.866,0.190,3.833
0.440,0.162,0.180,2.168
0.735,0.448,0.580,1.478
0.886,0.327,0.584,1.124
0.629,0.382,0.310,1.950
0.822,0.746,0.929,1.397
0.934,0.583,0.662,1.296
0.996,0.323,0.525,1.063
0.383,0.103,0.734,1.088
0.312,0.355,0.181,3.691
0.853,0.030,0.588,0.736
0.032,0.145,0.006,34.500
0.080,0.391,0.142,8.710
0.984,0.583,0.123,1.829
0.626,0.560,0.733,1.654
0.777,0.305,0.073,1.919
0.102,0.963,0.731,4.603
0.302,0.374,0.628,2.011
0.137,0.026,0.900,1.015
0.635,0.905,0.902,1.980
0.392,0.004,0.143,1.884
0.833,0.044,0.760,0.683
0.422,0.064,0.421,1.342
0.529,0.222,0.075,2.445
0.573,0.037,0.580,0.932
0.390,0.378,0.627,1.838
0.395,0.379,0.801,1.564
0.723,0.836,0.395,2.461
0.171,0.880,0.568,4.725
0.019,0.905,0.678,5.206
0.156,0.052,0.756,1.213
0.451,0.934,0.941,2.450
0.052,0.644,0.305,7.566
0.431,0.034,0.226,1.627
0.933,0.771,0.850,1.301
0.344,0.222,0.054,3.734
0.613,0.228,0.797,1.053
0.581,0.995,0.654,2.719
0.023,0.295,0.504,3.182
0.237,0.214,0.593,1.772
0.839,0.116,0.525,0.905
0.069,0.600,0.579,3.946
0.848,0.315,0.478,1.235
0.409,0.358,0.474,2.056
0.089,0.439,0.275,5.683
0.723,0.408,0.798,1.225
0.775,0.157,0.919,0.780
0.081,0.543,0.740,2.896
0.858,0.045,0.877,0.629
0.298,0.787,0.704,3.090
0.072,0.756,0.527,5.139
0.637,0.985,0.842,2.177
0.927,0.876,0.485,1.732
0.589,0.454,0.005,3.387
0.845,0.518,0.305,1.763
0.028,0.523,0.883,2.546
0.528,0.335,0.277,2.162
0.355,0.706,0.904,2.228
0.872,0.992,0.763,1.646
0.859,0.867,0.122,2.617
0.235,0.152,0.902,1.166
0.942,0.433,0.384,1.376
0.962,0.790,0.205,1.966
0.347,0.239,0.575,1.656
0.666,0.068,0.434,1.035
0.817,0.961,0.259,2.587
0.227,0.908,0.961,2.997
0.398,0.736,0.966,2.102
0.526,0.456,0.333,2.372
0.011,0.638,0.457,5.733
0.044,0.780,0.697,4.273
0.935,0.987,0.459,1.815
0.863,0.673,0.373,1.842
0.800,0.702,0.150,2.524
0.192,0.124,0.939,1.116
0.207,0.523,0.353,4.110
0.150,0.363,0.648,2.323
0.585,0.957,0.225,4.019
0.691,0.355,0.821,1.161
0.610,0.182,0.566,1.176
0.547,0.771,0.400,2.992
0.383,0.900,0.035,8.110
0.711,0.406,0.569,1.455
0.637,0.886,0.025,4.526
0.696,0.560,0.649,1.640
0.527,0.304,0.243,2.165
0.452,0.031,0.540,1.071
0.241,0.595,0.004,10.251
0.482,0.995,0.451,3.797
0.939,0.982,0.342,1.964
0.024,0.688,0.693,3.973
0.029,0.507,0.403,5.256
0.709,0.762,0.434,2.295
0.714,0.870,0.086,3.541
0.569,0.622,0.440,2.412
0.775,0.802,0.214,2.637
0.934,0.859,0.004,2.575
0.117,0.882,0.618,4.792
0.029,0.550,0.107,17.663
0.877,0.896,0.881,1.461
0.292,0.773,0.678,3.149
0.268,0.481,0.910,1.841
0.321,0.029,0.634,1.109
0.119,0.908,0.205,11.167
0.512,0.370,0.837,1.355
0.965,0.120,0.024,1.253
0.971,0.476,0.508,1.271
0.742,0.443,0.873,1.195
0.071,0.186,0.589,2.131
0.381,0.531,0.044,5.369
0.486,0.410,0.825,1.474
0.682,0.280,0.820,1.060
0.060,0.212,0.298,4.103
0.524,0.294,0.167,2.379
0.356,0.571,0.809,2.063
0.022,0.807,0.643,4.909
0.593,0.613,0.234,2.896
0.295,0.955,0.818,3.297
0.375,0.460,0.056,4.846
0.980,0.132,0.651,0.774
0.846,0.224,0.620,0.992
0.132,0.841,0.506,5.277
0.152,0.386,0.459,3.136
0.977,0.641,0.682,1.269
0.788,0.550,0.644,1.484
0.356,0.083,0.064,2.790
0.638,0.775,0.784,1.927
0.178,0.826,0.875,3.129
0.978,0.810,0.233,1.889
0.114,0.760,0.108,13.894
0.872,0.487,0.901,1.103
0.428,0.359,0.993,1.277
0.464,0.592,0.750,1.991
0.253,0.128,0.628,1.443
0.860,0.703,0.589,1.607
0.166,0.738,0.736,3.320
0.959,0.364,0.723,1.010
0.151,0.599,0.591,3.428
0.097,0.066,0.685,1.453
0.350,0.637,0.804,2.252
0.965,0.001,0.014,1.023
0.964,0.945,0.084,2.316
0.087,0.348,0.620,2.568
0.435,0.344,0.821,1.414
0.619,0.476,0.710,1.545
0.522,0.544,0.429,2.378
0.485,0.721,0.825,2.105
0.144,0.548,0.782,2.577
0.490,0.555,0.550,2.216
0.129,0.379,0.117,7.717
0.454,0.091,0.297,1.582
0.147,0.878,0.498,5.420
0.123,0.540,0.902,2.307
0.844,0.624,0.488,1.663
0.649,0.525,0.194,2.555
0.816,0.316,0.526,1.226
0.492,0.887,0.997,2.160
0.419,0.237,0.668,1.397
0.208,0.275,0.277,3.343
0.966,0.122,0.877,0.675
0.971,0.869,0.278,1.883
0.312,0.022,0.793,0.945
0.530,0.993,0.736,2.726
0.036,0.467,0.363,5.393
0.423,0.517,0.596,2.188
0.712,0.369,0.377,1.636
0.829,0.792,0.291,2.240
0.598,0.177,0.041,2.147
0.713,0.528,0.506,1.744
0.335,0.303,0.117,3.727
0.938,0.471,0.601,1.228
0.056,0.325,0.936,1.769
0.511,0.213,0.318,1.758
0.104,0.761,0.857,3.216
0.349,0.536,0.166,4.478
0.630,0.254,0.547,1.309
0.578,0.203,0.985,0.915
0.309,0.860,0.647,3.484
0.662,0.020,0.434,0.949
0.657,0.707,0.238,2.864
0.590,0.939,0.442,3.103
0.984,0.820,0.645,1.403
0.035,0.294,0.661,2.406
0.561,0.525,0.182,2.956
0.150,0.699,0.972,2.556
0.253,0.666,0.218,5.793
0.763,0.509,0.908,1.232
0.761,0.150,0.309,1.222
0.786,0.132,0.565,0.940
0.534,0.546,1.000,1.474
0.326,0.193,0.328,2.169
0.227,0.344,0.382,2.953
0.727,0.481,0.934,1.215
0.374,0.943,0.553,3.819
0.387,0.654,0.251,4.124
0.034,0.817,0.755,4.183
0.009,0.382,0.001,190.991
0.598,0.382,0.011,3.019
0.145,0.211,0.185,4.441
0.558,0.547,0.457,2.219
0.844,0.073,0.367,0.947
0.383,0.719,0.604,2.864
0.319,0.377,0.694,1.852
0.317,0.788,0.166,6.391
0.764,0.435,0.359,1.697
0.358,0.802,0.960,2.353
0.731,0.026,0.846,0.667
0.968,0.153,0.317,1.015
0.708,0.496,0.812,1.355
0.251,0.628,0.303,4.712
0.661,0.956,0.761,2.186
0.761,0.962,0.084,3.443
0.777,0.585,0.331,1.986
0.942,0.977,0.956,1.320
0.939,0.465,0.612,1.212
0.150,0.318,0.884,1.677
0.694,0.587,0.983,1.351
0.380,0.347,0.092,3.795
0.369,0.205,0.029,3.631
0.699,0.406,0.437,1.643
0.834,0.307,0.467,1.248
0.990,0.322,0.290,1.263
0.420,0.064,0.709,1.002
0.432,0.596,0.264,3.510
0.011,0.413,0.714,2.754
0.525,0.475,0.301,2.525
0.190,0.180,0.469,2.111
0.766,0.387,0.777,1.170
0.580,0.816,0.664,2.340
0.451,0.485,0.757,1.767
0.404,0.261,0.859,1.248
0.151,0.986,0.953,3.533
0.948,0.964,0.670,1.533
0.758,0.140,0.337,1.175
0.155,0.963,0.254,9.315
0.206,0.327,0.897,1.591
0.447,0.610,0.152,4.131
0.075,0.177,0.483,2.482
0.432,0.004,0.201,1.592
0.237,0.870,0.451,4.968
0.099,0.201,0.713,1.776
0.336,0.031,0.698,1.028
0.964,0.632,0.723,1.250
0.978,0.440,0.170,1.585
0.686,0.387,0.453,1.605
0.879,0.711,0.400,1.811
0.233,0.201,0.035,5.372
0.945,0.203,0.435,1.017
0.168,0.022,0.352,2.009
0.154,0.693,0.208,7.865
0.644,0.186,0.716,1.022
0.703,0.758,0.780,1.768
0.584,0.549,0.877,1.536
0.819,0.094,0.851,0.713
0.235,0.297,0.254,3.427
0.383,0.306,0.111,3.417
0.427,0.418,0.913,1.467
0.863,0.838,0.484,1.871
0.498,0.955,0.821,2.578
0.664,0.349,0.249,1.915
0.428,0.586,0.264,3.493
0.598,0.599,0.714,1.797
0.452,0.180,0.478,1.489
0.749,0.688,0.621,1.772
0.593,0.932,0.449,3.051
0.995,0.880,0.735,1.336
0.759,0.925,0.981,1.639
0.327,0.585,0.076,6.091
0.988,0.815,0.248,1.840
0.389,0.842,0.913,2.458
0.483,0.090,0.319,1.479
0.577,0.502,0.162,2.886
0.308,0.696,0.161,5.969
0.224,0.004,0.811,0.974
0.781,0.048,0.970,0.626
0.266,0.719,0.817,2.671
0.816,0.828,0.335,2.247
0.340,0.226,0.617,1.563
0.073,0.979,0.057,30.049
0.316,0.713,0.040,8.001
0.823,0.924,0.094,2.964
0.298,0.866,0.808,3.037
0.539,0.846,0.754,2.352
0.442,0.387,0.202,2.925
0.607,0.930,0.759,2.306
0.649,0.108,0.506,1.058
0.723,0.880,0.975,1.671
0.640,0.051,0.566,0.915
0.859,0.550,0.072,2.229
0.192,0.812,0.563,4.291
0.216,0.002,0.046,3.832
0.626,0.494,0.245,2.402
0.145,0.758,0.042,16.414
0.265,0.358,0.474,2.479
0.375,0.172,0.634,1.357
0.614,0.513,0.748,1.573
0.002,0.905,0.308,11.707
0.857,0.532,0.343,1.704
0.564,0.351,0.667,1.440
0.611,0.267,0.222,1.887
0.734,0.049,0.216,1.157
0.293,0.392,0.287,3.309
0.327,0.500,0.409,3.003
0.575,0.570,0.945,1.514
0.924,0.227,0.932,0.782
0.025,0.094,0.666,1.732
0.528,0.315,0.654,1.432
0.471,0.651,0.343,3.162
0.949,0.987,0.025,2.561
0.826,0.327,0.475,1.281
0.987,0.901,0.969,1.198
0.263,0.175,0.779,1.323
0.924,0.678,0.135,2.091
0.657,0.877,0.469,2.614
0.714,0.811,0.256,2.800
0.385,0.328,0.305,2.525
0.241,0.617,0.675,2.816
0.670,0.124,0.119,1.591
0.613,0.898,0.398,3.030
0.029,0.959,0.117,26.275
0.227,0.975,0.615,4.519
0.167,0.111,0.203,3.335
0.344,0.287,0.794,1.445
0.742,0.143,0.542,1.007
0.899,0.015,0.704,0.643
0.503,0.665,0.626,2.295
0.107,0.214,0.270,3.908
0.482,0.218,0.066,2.683
0.922,0.443,0.540,1.266
0.472,0.585,0.718,2.011
0.566,0.160,0.588,1.158
0.638,0.009,0.243,1.156
0.644,0.503,0.521,1.807
0.089,0.973,0.659,5.184
0.122,0.839,0.171,11.477
0.224,0.074,0.358,1.981
0.466,0.746,0.740,2.358
0.692,0.829,0.612,2.136
0.864,0.311,0.829,0.960
0.508,0.299,0.826,1.243
0.734,0.148,0.898,0.799
0.986,0.645,0.750,1.210
0.068,0.891,0.799,4.116
0.678,0.545,0.766,1.512
0.975,0.731,0.194,1.893
0.939,0.764,0.274,1.898
0.093,0.827,0.498,5.630
0.611,0.452,0.373,2.032
0.776,0.817,0.800,1.671
0.216,0.441,0.060,7.476
0.170,0.280,0.763,1.753
0.759,0.436,0.402,1.644
0.408,0.274,0.493,1.784
0.649,0.131,0.382,1.233
0.791,0.426,0.237,1.825
0.198,0.832,0.387,5.653
0.389,0.665,0.140,5.033
0.557,0.870,0.023,5.310
0.777,0.805,0.390,2.237
0.808,0.048,0.339,0.956
0.177,0.630,0.322,5.284
0.820,0.289,0.295,1.426
0.963,0.522,0.567,1.278
0.287,0.861,0.311,5.604
0.555,0.440,0.600,1.722
0.271,0.173,0.205,2.885
0.600,0.443,0.787,1.429
0.097,0.320,0.679,2.244
0.259,0.600,0.644,2.792
0.481,0.523,0.288,2.893
0.609,0.068,0.082,1.648
0.993,0.720,0.226,1.785
0.240,0.341,0.307,3.271
0.953,0.507,0.062,1.910
0.362,0.122,0.122,2.596
0.067,0.100,0.447,2.354
0.749,0.725,0.181,2.688
0.550,0.904,0.497,3.036
0.290,0.861,0.078,9.100
0.736,0.344,0.914,1.043
0.606,0.061,0.028,1.773
0.447,0.494,0.390,2.581
0.643,0.255,0.227,1.772
0.200,0.268,0.102,5.312
0.541,0.048,0.512,1.042
0.850,0.280,0.663,1.036
0.758,0.037,0.764,0.706
0.645,0.021,0.314,1.087
0.363,0.209,0.509,1.668
0.739,0.758,0.325,2.422
0.439,0.897,0.856,2.559
0.887,0.576,0.645,1.369
0.026,0.148,0.225,5.251
0.122,0.481,0.976,1.993
0.933,0.104,0.240,1.030
0.002,0.617,0.993,2.628
0.796,0.676,0.517,1.794
0.964,0.868,0.726,1.399
0.141,0.406,0.902,1.891
0.548,0.045,0.806,0.806
0.835,0.019,0.459,0.802
0.187,0.439,0.352,3.824
0.489,0.162,0.240,1.842
0.789,0.174,0.644,0.946
0.791,0.591,0.501,1.704
0.020,0.445,0.089,19.155
0.706,0.125,0.638,0.935
0.121,0.566,0.590,3.439
0.566,0.929,0.579,2.811
0.474,0.642,0.870,1.895
0.124,0.974,0.686,4.775
0.489,0.531,0.771,1.780
0.333,0.077,0.161,2.347
0.339,0.779,0.810,2.648
0.191,0.667,0.796,2.788
0.311,0.206,0.424,1.972
0.457,0.119,0.096,2.258
0.098,0.922,0.451,6.700
0.703,0.910,0.152,3.429
0.247,0.187,0.791,1.355
0.051,0.958,0.381,8.864
0.362,0.968,0.283,5.640
0.190,0.513,0.308,4.568
0.725,0.193,0.609,1.049
0.155,0.145,0.098,5.180
0.247,0.937,0.680,3.937
0.776,0.083,0.746,0.768
0.669,0.823,0.843,1.856
0.556,0.346,0.992,1.138
0.136,0.880,0.074,16.703
0.108,0.672,0.034,19.625
0.667,0.317,0.031,2.402
0.350,0.949,0.364,5.026
0.954,0.067,0.786,0.652
0.661,0.076,0.788,0.797
0.104,0.955,0.093,19.303
0.461,0.049,0.939,0.786
0.936,0.762,0.582,1.519
0.812,0.442,0.371,1.606
0.399,0.731,0.457,3.332
0.139,0.300,0.131,6.251
0.468,0.449,0.536,2.028
0.343,0.110,0.604,1.299
0.542,0.659,0.719,2.020
0.815,0.237,0.777,0.932
0.515,0.691,0.924,1.843
0.962,0.148,0.015,1.325
0.746,0.857,0.186,2.955
0.144,0.117,0.237,3.274
0.436,0.967,0.657,3.232
0.085,0.575,0.957,2.377
0.616,0.373,0.744,1.334
0.281,0.861,0.956,2.713
0.838,0.828,0.291,2.258
0.498,0.809,0.239,4.056
0.935,0.982,0.404,1.886
0.615,0.634,0.271,2.743
0.427,0.107,0.565,1.233
0.353,0.117,0.602,1.304
0.536,0.755,0.355,3.146
0.952,0.472,0.672,1.160
0.795,0.287,0.258,1.510
0.413,0.703,0.368,3.533
0.729,0.899,0.504,2.321
0.644,0.064,0.524,0.968
0.979,0.163,0.855,0.721
0.352,0.114,0.318,1.850
0.023,0.671,0.978,2.789
0.126,0.776,0.667,3.956
0.845,0.563,0.764,1.310
0.154,0.598,0.832,2.576
0.039,0.814,0.377,7.906
0.274,0.230,0.629,1.670
0.722,0.303,0.146,1.885
0.818,0.176,0.037,1.589
0.999,0.559,0.270,1.560
0.334,0.230,0.974,1.151
0.038,0.178,0.075,12.280
0.337,0.542,0.050,6.012
0.046,0.402,0.964,1.946
1.000,0.583,0.792,1.122
0.491,0.612,0.512,2.449
0.208,0.227,0.626,1.802
0.234,0.014,0.757,1.038
0.256,0.351,0.243,3.636
0.784,0.035,0.374,0.924
0.605,0.714,0.332,2.808
0.626,0.531,0.702,1.641
0.039,0.700,0.965,2.877
0.369,0.537,0.388,3.042
0.241,0.016,0.141,2.702
0.838,0.334,0.632,1.141
0.355,0.567,0.717,2.232
0.271,0.780,0.358,4.912
0.723,0.606,0.489,1.885
0.515,0.001,0.595,0.903
0.265,0.789,0.140,7.711
0.422,0.866,0.315,4.396
